timestamp, system, entity , value (s/m)
1622104253.053, lauv-roald, SmartX, 2.686
1622104253.553, lauv-roald, SmartX, 2.746
1622104254.053, lauv-roald, SmartX, 2.689
1622104254.553, lauv-roald, SmartX, 2.692
1622104255.053, lauv-roald, SmartX, 2.742
1622104255.552, lauv-roald, SmartX, 2.824
1622104256.052, lauv-roald, SmartX, 2.901
1622104256.553, lauv-roald, SmartX, 2.911
1622104257.052, lauv-roald, SmartX, 2.870
1622104257.552, lauv-roald, SmartX, 2.756
1622104258.052, lauv-roald, SmartX, 2.714
1622104258.552, lauv-roald, SmartX, 2.781
1622104259.052, lauv-roald, SmartX, 2.853
1622104259.552, lauv-roald, SmartX, 2.872
1622104260.052, lauv-roald, SmartX, 2.874
1622104260.552, lauv-roald, SmartX, 2.871
1622104261.052, lauv-roald, SmartX, 2.884
1622104261.552, lauv-roald, SmartX, 2.910
1622104262.052, lauv-roald, SmartX, 2.909
1622104262.552, lauv-roald, SmartX, 2.884
1622104263.052, lauv-roald, SmartX, 2.856
1622104263.552, lauv-roald, SmartX, 2.861
1622104264.052, lauv-roald, SmartX, 2.911
1622104264.552, lauv-roald, SmartX, 2.951
1622104265.052, lauv-roald, SmartX, 2.968
1622104265.552, lauv-roald, SmartX, 2.912
1622104266.052, lauv-roald, SmartX, 2.874
1622104266.552, lauv-roald, SmartX, 2.861
1622104267.052, lauv-roald, SmartX, 2.888
1622104267.552, lauv-roald, SmartX, 2.891
1622104268.052, lauv-roald, SmartX, 2.867
1622104268.552, lauv-roald, SmartX, 2.866
1622104269.052, lauv-roald, SmartX, 2.865
1622104269.551, lauv-roald, SmartX, 2.847
1622104270.051, lauv-roald, SmartX, 2.850
1622104270.552, lauv-roald, SmartX, 2.862
1622104271.051, lauv-roald, SmartX, 2.878
1622104271.551, lauv-roald, SmartX, 2.926
1622104272.051, lauv-roald, SmartX, 2.964
1622104272.551, lauv-roald, SmartX, 2.973
1622104273.051, lauv-roald, SmartX, 2.937
1622104273.551, lauv-roald, SmartX, 2.815
1622104274.051, lauv-roald, SmartX, 2.825
1622104274.551, lauv-roald, SmartX, 2.877
1622104275.051, lauv-roald, SmartX, 2.937
1622104275.551, lauv-roald, SmartX, 2.968
1622104276.051, lauv-roald, SmartX, 2.986
1622104276.551, lauv-roald, SmartX, 2.991
1622104277.051, lauv-roald, SmartX, 2.989
1622104277.551, lauv-roald, SmartX, 2.995
1622104278.051, lauv-roald, SmartX, 3.002
1622104278.551, lauv-roald, SmartX, 3.001
1622104279.051, lauv-roald, SmartX, 3.003
1622104279.551, lauv-roald, SmartX, 3.007
1622104280.051, lauv-roald, SmartX, 2.998
1622104280.551, lauv-roald, SmartX, 2.928
1622104281.051, lauv-roald, SmartX, 2.866
1622104281.551, lauv-roald, SmartX, 2.870
1622104282.051, lauv-roald, SmartX, 2.927
1622104282.551, lauv-roald, SmartX, 2.965
1622104283.051, lauv-roald, SmartX, 2.987
1622104283.550, lauv-roald, SmartX, 2.981
1622104284.051, lauv-roald, SmartX, 2.916
1622104284.551, lauv-roald, SmartX, 2.767
1622104285.050, lauv-roald, SmartX, 2.772
1622104285.551, lauv-roald, SmartX, 2.847
1622104286.051, lauv-roald, SmartX, 2.942
1622104286.551, lauv-roald, SmartX, 2.976
1622104287.050, lauv-roald, SmartX, 2.992
1622104287.550, lauv-roald, SmartX, 2.970
1622104288.050, lauv-roald, SmartX, 2.903
1622104288.550, lauv-roald, SmartX, 2.940
1622104289.050, lauv-roald, SmartX, 2.976
1622104289.550, lauv-roald, SmartX, 2.993
1622104290.050, lauv-roald, SmartX, 3.003
1622104290.550, lauv-roald, SmartX, 2.997
1622104291.050, lauv-roald, SmartX, 2.993
1622104291.550, lauv-roald, SmartX, 2.995
1622104292.050, lauv-roald, SmartX, 2.999
1622104292.550, lauv-roald, SmartX, 3.002
1622104293.050, lauv-roald, SmartX, 3.007
1622104293.550, lauv-roald, SmartX, 3.011
1622104294.050, lauv-roald, SmartX, 3.011
1622104294.550, lauv-roald, SmartX, 3.007
1622104295.050, lauv-roald, SmartX, 2.982
1622104295.551, lauv-roald, SmartX, 2.948
1622104296.050, lauv-roald, SmartX, 2.942
1622104296.550, lauv-roald, SmartX, 2.973
1622104297.050, lauv-roald, SmartX, 2.994
1622104297.550, lauv-roald, SmartX, 2.989
1622104298.050, lauv-roald, SmartX, 2.975
1622104298.550, lauv-roald, SmartX, 2.979
1622104299.049, lauv-roald, SmartX, 2.992
1622104299.550, lauv-roald, SmartX, 3.007
1622104300.049, lauv-roald, SmartX, 3.017
1622104300.549, lauv-roald, SmartX, 3.003
1622104301.049, lauv-roald, SmartX, 2.931
1622104301.550, lauv-roald, SmartX, 2.766
1622104302.049, lauv-roald, SmartX, 2.793
1622104302.549, lauv-roald, SmartX, 2.845
1622104303.049, lauv-roald, SmartX, 2.907
1622104303.550, lauv-roald, SmartX, 2.955
1622104304.049, lauv-roald, SmartX, 2.980
1622104304.549, lauv-roald, SmartX, 2.961
1622104305.049, lauv-roald, SmartX, 2.840
1622104305.550, lauv-roald, SmartX, 2.563
1622104306.049, lauv-roald, SmartX, 2.586
1622104306.550, lauv-roald, SmartX, 2.704
1622104307.049, lauv-roald, SmartX, 2.892
1622104307.549, lauv-roald, SmartX, 2.958
1622104308.049, lauv-roald, SmartX, 2.952
1622104308.549, lauv-roald, SmartX, 2.882
1622104309.049, lauv-roald, SmartX, 2.786
1622104309.550, lauv-roald, SmartX, 2.698
1622104310.049, lauv-roald, SmartX, 2.799
1622104310.549, lauv-roald, SmartX, 2.894
1622104311.049, lauv-roald, SmartX, 2.974
1622104311.549, lauv-roald, SmartX, 2.992
1622104312.049, lauv-roald, SmartX, 2.906
1622104312.549, lauv-roald, SmartX, 2.653
1622104313.049, lauv-roald, SmartX, 2.621
1622104313.549, lauv-roald, SmartX, 2.705
1622104314.048, lauv-roald, SmartX, 2.847
1622104314.548, lauv-roald, SmartX, 2.930
1622104315.049, lauv-roald, SmartX, 2.968
1622104315.549, lauv-roald, SmartX, 2.952
1622104316.049, lauv-roald, SmartX, 2.930
1622104316.548, lauv-roald, SmartX, 2.917
1622104317.048, lauv-roald, SmartX, 2.919
1622104317.549, lauv-roald, SmartX, 2.950
1622104318.048, lauv-roald, SmartX, 2.992
1622104318.549, lauv-roald, SmartX, 3.007
1622104319.048, lauv-roald, SmartX, 3.013
1622104319.548, lauv-roald, SmartX, 3.005
1622104320.048, lauv-roald, SmartX, 2.979
1622104320.548, lauv-roald, SmartX, 2.973
1622104321.048, lauv-roald, SmartX, 2.988
1622104321.548, lauv-roald, SmartX, 3.003
1622104322.048, lauv-roald, SmartX, 3.007
1622104322.548, lauv-roald, SmartX, 3.007
1622104323.048, lauv-roald, SmartX, 3.011
1622104323.548, lauv-roald, SmartX, 3.020
1622104324.048, lauv-roald, SmartX, 3.028
1622104324.548, lauv-roald, SmartX, 3.026
1622104325.048, lauv-roald, SmartX, 2.969
1622104325.548, lauv-roald, SmartX, 2.658
1622104326.047, lauv-roald, SmartX, 2.601
1622104326.548, lauv-roald, SmartX, 2.691
1622104327.048, lauv-roald, SmartX, 2.866
1622104327.548, lauv-roald, SmartX, 2.962
1622104328.048, lauv-roald, SmartX, 2.974
1622104328.547, lauv-roald, SmartX, 2.852
1622104329.048, lauv-roald, SmartX, 2.617
1622104329.548, lauv-roald, SmartX, 2.616
1622104330.047, lauv-roald, SmartX, 2.692
1622104330.547, lauv-roald, SmartX, 2.828
1622104331.047, lauv-roald, SmartX, 2.905
1622104331.547, lauv-roald, SmartX, 2.942
1622104332.047, lauv-roald, SmartX, 2.979
1622104332.547, lauv-roald, SmartX, 2.901
1622104333.047, lauv-roald, SmartX, 2.686
1622104333.547, lauv-roald, SmartX, 2.738
1622104334.047, lauv-roald, SmartX, 2.848
1622104334.547, lauv-roald, SmartX, 2.912
1622104335.047, lauv-roald, SmartX, 2.971
1622104335.547, lauv-roald, SmartX, 2.991
1622104336.047, lauv-roald, SmartX, 2.996
1622104336.547, lauv-roald, SmartX, 2.916
1622104337.047, lauv-roald, SmartX, 2.791
1622104337.547, lauv-roald, SmartX, 2.913
1622104338.047, lauv-roald, SmartX, 2.954
1622104338.547, lauv-roald, SmartX, 2.976
1622104339.047, lauv-roald, SmartX, 2.980
1622104339.547, lauv-roald, SmartX, 2.975
1622104340.046, lauv-roald, SmartX, 3.001
1622104340.546, lauv-roald, SmartX, 3.008
1622104341.047, lauv-roald, SmartX, 2.991
1622104341.546, lauv-roald, SmartX, 2.967
1622104342.047, lauv-roald, SmartX, 2.937
1622104342.547, lauv-roald, SmartX, 2.944
1622104343.047, lauv-roald, SmartX, 2.953
1622104343.546, lauv-roald, SmartX, 2.967
1622104344.047, lauv-roald, SmartX, 2.967
1622104344.547, lauv-roald, SmartX, 2.955
1622104345.046, lauv-roald, SmartX, 2.920
1622104345.546, lauv-roald, SmartX, 2.928
1622104346.046, lauv-roald, SmartX, 2.954
1622104346.546, lauv-roald, SmartX, 2.970
1622104347.046, lauv-roald, SmartX, 2.990
1622104347.546, lauv-roald, SmartX, 2.996
1622104348.046, lauv-roald, SmartX, 2.933
1622104348.546, lauv-roald, SmartX, 2.882
1622104349.046, lauv-roald, SmartX, 2.856
1622104349.546, lauv-roald, SmartX, 2.912
1622104350.046, lauv-roald, SmartX, 2.972
1622104350.546, lauv-roald, SmartX, 3.004
1622104351.046, lauv-roald, SmartX, 3.002
1622104351.546, lauv-roald, SmartX, 3.001
1622104352.046, lauv-roald, SmartX, 2.996
