timestamp, system, entity , value (kg/m/m/m)
1622104250.553, lauv-roald, SmartX, 1018.639
1622104251.053, lauv-roald, SmartX, 1018.045
1622104251.553, lauv-roald, SmartX, 1017.727
1622104252.053, lauv-roald, SmartX, 1016.404
1622104252.553, lauv-roald, SmartX, 1016.073
1622104253.053, lauv-roald, SmartX, 1017.482
1622104253.553, lauv-roald, SmartX, 1017.924
1622104254.053, lauv-roald, SmartX, 1017.554
1622104254.553, lauv-roald, SmartX, 1017.560
1622104255.053, lauv-roald, SmartX, 1017.903
1622104255.553, lauv-roald, SmartX, 1018.466
1622104256.052, lauv-roald, SmartX, 1018.932
1622104256.553, lauv-roald, SmartX, 1019.079
1622104257.053, lauv-roald, SmartX, 1018.849
1622104257.553, lauv-roald, SmartX, 1018.043
1622104258.053, lauv-roald, SmartX, 1017.765
1622104258.553, lauv-roald, SmartX, 1018.192
1622104259.053, lauv-roald, SmartX, 1018.685
1622104259.552, lauv-roald, SmartX, 1018.846
1622104260.052, lauv-roald, SmartX, 1018.861
1622104260.552, lauv-roald, SmartX, 1018.851
1622104261.052, lauv-roald, SmartX, 1018.914
1622104261.552, lauv-roald, SmartX, 1019.064
1622104262.052, lauv-roald, SmartX, 1019.100
1622104262.552, lauv-roald, SmartX, 1018.974
1622104263.052, lauv-roald, SmartX, 1018.805
1622104263.552, lauv-roald, SmartX, 1018.795
1622104264.052, lauv-roald, SmartX, 1019.036
1622104264.553, lauv-roald, SmartX, 1019.285
1622104265.052, lauv-roald, SmartX, 1019.442
1622104265.552, lauv-roald, SmartX, 1019.170
1622104266.052, lauv-roald, SmartX, 1018.952
1622104266.552, lauv-roald, SmartX, 1018.855
1622104267.052, lauv-roald, SmartX, 1018.989
1622104267.552, lauv-roald, SmartX, 1019.030
1622104268.052, lauv-roald, SmartX, 1018.920
1622104268.552, lauv-roald, SmartX, 1018.896
1622104269.052, lauv-roald, SmartX, 1018.883
1622104269.552, lauv-roald, SmartX, 1018.806
1622104270.052, lauv-roald, SmartX, 1018.790
1622104270.552, lauv-roald, SmartX, 1018.852
1622104271.052, lauv-roald, SmartX, 1018.941
1622104271.552, lauv-roald, SmartX, 1019.164
1622104272.052, lauv-roald, SmartX, 1019.377
1622104272.552, lauv-roald, SmartX, 1019.455
1622104273.052, lauv-roald, SmartX, 1019.380
1622104273.552, lauv-roald, SmartX, 1018.637
1622104274.051, lauv-roald, SmartX, 1018.618
1622104274.552, lauv-roald, SmartX, 1018.897
1622104275.052, lauv-roald, SmartX, 1019.194
1622104275.552, lauv-roald, SmartX, 1019.373
1622104276.052, lauv-roald, SmartX, 1019.512
1622104276.551, lauv-roald, SmartX, 1019.562
1622104277.051, lauv-roald, SmartX, 1019.581
1622104277.551, lauv-roald, SmartX, 1019.578
1622104278.051, lauv-roald, SmartX, 1019.617
1622104278.551, lauv-roald, SmartX, 1019.622
1622104279.051, lauv-roald, SmartX, 1019.624
1622104279.551, lauv-roald, SmartX, 1019.648
1622104280.051, lauv-roald, SmartX, 1019.647
1622104280.551, lauv-roald, SmartX, 1019.291
1622104281.051, lauv-roald, SmartX, 1018.923
1622104281.551, lauv-roald, SmartX, 1018.896
1622104282.051, lauv-roald, SmartX, 1019.177
1622104282.551, lauv-roald, SmartX, 1019.391
1622104283.051, lauv-roald, SmartX, 1019.511
1622104283.551, lauv-roald, SmartX, 1019.542
1622104284.051, lauv-roald, SmartX, 1019.264
1622104284.551, lauv-roald, SmartX, 1018.332
1622104285.051, lauv-roald, SmartX, 1018.271
1622104285.551, lauv-roald, SmartX, 1018.654
1622104286.051, lauv-roald, SmartX, 1019.208
1622104286.551, lauv-roald, SmartX, 1019.428
1622104287.051, lauv-roald, SmartX, 1019.560
1622104287.551, lauv-roald, SmartX, 1019.539
1622104288.051, lauv-roald, SmartX, 1019.140
1622104288.551, lauv-roald, SmartX, 1019.266
1622104289.051, lauv-roald, SmartX, 1019.452
1622104289.550, lauv-roald, SmartX, 1019.575
1622104290.050, lauv-roald, SmartX, 1019.631
1622104290.550, lauv-roald, SmartX, 1019.633
1622104291.050, lauv-roald, SmartX, 1019.598
1622104291.550, lauv-roald, SmartX, 1019.611
1622104292.050, lauv-roald, SmartX, 1019.621
1622104292.550, lauv-roald, SmartX, 1019.632
1622104293.050, lauv-roald, SmartX, 1019.655
1622104293.550, lauv-roald, SmartX, 1019.686
1622104294.050, lauv-roald, SmartX, 1019.681
1622104294.550, lauv-roald, SmartX, 1019.694
1622104295.050, lauv-roald, SmartX, 1019.585
1622104295.551, lauv-roald, SmartX, 1019.377
1622104296.050, lauv-roald, SmartX, 1019.314
1622104296.550, lauv-roald, SmartX, 1019.426
1622104297.050, lauv-roald, SmartX, 1019.569
1622104297.550, lauv-roald, SmartX, 1019.576
1622104298.050, lauv-roald, SmartX, 1019.530
1622104298.550, lauv-roald, SmartX, 1019.525
1622104299.050, lauv-roald, SmartX, 1019.554
1622104299.551, lauv-roald, SmartX, 1019.628
1622104300.050, lauv-roald, SmartX, 1019.689
1622104300.550, lauv-roald, SmartX, 1019.677
1622104301.050, lauv-roald, SmartX, 1019.363
1622104301.551, lauv-roald, SmartX, 1018.313
1622104302.050, lauv-roald, SmartX, 1018.440
1622104302.550, lauv-roald, SmartX, 1018.668
1622104303.050, lauv-roald, SmartX, 1019.073
1622104303.550, lauv-roald, SmartX, 1019.300
1622104304.050, lauv-roald, SmartX, 1019.516
1622104304.550, lauv-roald, SmartX, 1019.462
1622104305.050, lauv-roald, SmartX, 1018.870
1622104305.551, lauv-roald, SmartX, 1016.982
1622104306.050, lauv-roald, SmartX, 1017.030
1622104306.550, lauv-roald, SmartX, 1017.681
1622104307.049, lauv-roald, SmartX, 1018.865
1622104307.550, lauv-roald, SmartX, 1019.310
1622104308.050, lauv-roald, SmartX, 1019.417
1622104308.549, lauv-roald, SmartX, 1019.111
1622104309.049, lauv-roald, SmartX, 1018.563
1622104309.550, lauv-roald, SmartX, 1017.917
1622104310.049, lauv-roald, SmartX, 1018.374
1622104310.549, lauv-roald, SmartX, 1018.914
1622104311.049, lauv-roald, SmartX, 1019.392
1622104311.549, lauv-roald, SmartX, 1019.542
1622104312.049, lauv-roald, SmartX, 1019.320
1622104312.549, lauv-roald, SmartX, 1017.651
1622104313.049, lauv-roald, SmartX, 1017.385
1622104313.549, lauv-roald, SmartX, 1017.800
1622104314.049, lauv-roald, SmartX, 1018.635
1622104314.549, lauv-roald, SmartX, 1019.162
1622104315.049, lauv-roald, SmartX, 1019.431
1622104315.549, lauv-roald, SmartX, 1019.448
1622104316.049, lauv-roald, SmartX, 1019.374
1622104316.549, lauv-roald, SmartX, 1019.293
1622104317.049, lauv-roald, SmartX, 1019.248
1622104317.550, lauv-roald, SmartX, 1019.349
1622104318.049, lauv-roald, SmartX, 1019.564
1622104318.549, lauv-roald, SmartX, 1019.650
1622104319.048, lauv-roald, SmartX, 1019.695
1622104319.548, lauv-roald, SmartX, 1019.690
1622104320.048, lauv-roald, SmartX, 1019.610
1622104320.548, lauv-roald, SmartX, 1019.560
1622104321.048, lauv-roald, SmartX, 1019.578
1622104321.548, lauv-roald, SmartX, 1019.650
1622104322.048, lauv-roald, SmartX, 1019.695
1622104322.548, lauv-roald, SmartX, 1019.689
1622104323.048, lauv-roald, SmartX, 1019.691
1622104323.548, lauv-roald, SmartX, 1019.720
1622104324.048, lauv-roald, SmartX, 1019.777
1622104324.548, lauv-roald, SmartX, 1019.784
1622104325.048, lauv-roald, SmartX, 1019.631
1622104325.548, lauv-roald, SmartX, 1017.658
1622104326.048, lauv-roald, SmartX, 1017.230
1622104326.549, lauv-roald, SmartX, 1017.576
1622104327.048, lauv-roald, SmartX, 1018.660
1622104327.548, lauv-roald, SmartX, 1019.316
1622104328.048, lauv-roald, SmartX, 1019.518
1622104328.548, lauv-roald, SmartX, 1018.965
1622104329.048, lauv-roald, SmartX, 1017.396
1622104329.548, lauv-roald, SmartX, 1017.336
1622104330.048, lauv-roald, SmartX, 1017.749
1622104330.548, lauv-roald, SmartX, 1018.521
1622104331.047, lauv-roald, SmartX, 1018.939
1622104331.548, lauv-roald, SmartX, 1019.161
1622104332.047, lauv-roald, SmartX, 1019.509
1622104332.547, lauv-roald, SmartX, 1019.209
1622104333.048, lauv-roald, SmartX, 1017.857
1622104333.548, lauv-roald, SmartX, 1018.010
1622104334.047, lauv-roald, SmartX, 1018.577
1622104334.547, lauv-roald, SmartX, 1018.982
1622104335.047, lauv-roald, SmartX, 1019.388
1622104335.548, lauv-roald, SmartX, 1019.549
1622104336.047, lauv-roald, SmartX, 1019.657
1622104336.547, lauv-roald, SmartX, 1019.313
1622104337.047, lauv-roald, SmartX, 1018.389
1622104337.547, lauv-roald, SmartX, 1019.062
1622104338.047, lauv-roald, SmartX, 1019.264
1622104338.547, lauv-roald, SmartX, 1019.488
1622104339.047, lauv-roald, SmartX, 1019.552
1622104339.547, lauv-roald, SmartX, 1019.549
1622104340.047, lauv-roald, SmartX, 1019.689
1622104340.547, lauv-roald, SmartX, 1019.719
1622104341.047, lauv-roald, SmartX, 1019.673
1622104341.547, lauv-roald, SmartX, 1019.595
1622104342.047, lauv-roald, SmartX, 1019.429
1622104342.547, lauv-roald, SmartX, 1019.435
1622104343.047, lauv-roald, SmartX, 1019.453
1622104343.547, lauv-roald, SmartX, 1019.520
1622104344.047, lauv-roald, SmartX, 1019.538
1622104344.547, lauv-roald, SmartX, 1019.496
1622104345.047, lauv-roald, SmartX, 1019.272
1622104345.547, lauv-roald, SmartX, 1019.263
1622104346.047, lauv-roald, SmartX, 1019.413
1622104346.547, lauv-roald, SmartX, 1019.485
1622104347.046, lauv-roald, SmartX, 1019.607
1622104347.546, lauv-roald, SmartX, 1019.674
1622104348.047, lauv-roald, SmartX, 1019.428
1622104348.547, lauv-roald, SmartX, 1019.131
1622104349.046, lauv-roald, SmartX, 1018.910
1622104349.546, lauv-roald, SmartX, 1019.152
1622104350.047, lauv-roald, SmartX, 1019.451
1622104350.546, lauv-roald, SmartX, 1019.660
1622104351.046, lauv-roald, SmartX, 1019.693
1622104351.546, lauv-roald, SmartX, 1019.696
1622104352.046, lauv-roald, SmartX, 1019.685
1622104352.546, lauv-roald, SmartX, 1019.454
1622104353.046, lauv-roald, SmartX, 1019.490
1622104353.546, lauv-roald, SmartX, 1019.611
1622104354.046, lauv-roald, SmartX, 1019.677
1622104354.546, lauv-roald, SmartX, 1019.694
1622104355.046, lauv-roald, SmartX, 1019.664
1622104355.546, lauv-roald, SmartX, 1019.685
1622104356.046, lauv-roald, SmartX, 1019.583
1622104356.546, lauv-roald, SmartX, 1019.293
1622104357.046, lauv-roald, SmartX, 1018.571
1622104357.546, lauv-roald, SmartX, 1018.750
1622104358.046, lauv-roald, SmartX, 1018.963
1622104358.546, lauv-roald, SmartX, 1019.300
1622104359.046, lauv-roald, SmartX, 1019.597
1622104359.545, lauv-roald, SmartX, 1019.682
1622104360.045, lauv-roald, SmartX, 1019.719
1622104360.545, lauv-roald, SmartX, 1019.728
1622104361.045, lauv-roald, SmartX, 1019.741
1622104361.545, lauv-roald, SmartX, 1019.755
1622104362.045, lauv-roald, SmartX, 1019.728
1622104362.545, lauv-roald, SmartX, 1019.438
1622104363.046, lauv-roald, SmartX, 1019.389
1622104363.545, lauv-roald, SmartX, 1019.592
1622104364.045, lauv-roald, SmartX, 1019.674
1622104364.545, lauv-roald, SmartX, 1019.547
1622104365.045, lauv-roald, SmartX, 1018.986
1622104365.545, lauv-roald, SmartX, 1017.532
1622104366.045, lauv-roald, SmartX, 1018.462
1622104366.545, lauv-roald, SmartX, 1018.717
1622104367.045, lauv-roald, SmartX, 1018.797
1622104367.545, lauv-roald, SmartX, 1019.382
1622104368.045, lauv-roald, SmartX, 1019.774
1622104368.545, lauv-roald, SmartX, 1019.619
1622104369.045, lauv-roald, SmartX, 1017.422
1622104369.545, lauv-roald, SmartX, 1016.253
1622104370.045, lauv-roald, SmartX, 1016.022
1622104370.545, lauv-roald, SmartX, 1017.535
1622104371.045, lauv-roald, SmartX, 1018.621
1622104371.545, lauv-roald, SmartX, 1019.211
1622104372.045, lauv-roald, SmartX, 1018.370
1622104372.545, lauv-roald, SmartX, 1016.947
1622104373.045, lauv-roald, SmartX, 1016.105
1622104373.545, lauv-roald, SmartX, 1017.290
1622104374.045, lauv-roald, SmartX, 1018.789
