[rosmaster.master][INFO] 2021-11-05 12:48:51,175: +PUB [/IMC/Out/PlanControl] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,178: +PUB [/IMC/Out/PlanControlState] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,246: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2021-11-05 12:48:58,912: +PUB [/rosout] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,926: +SERVICE [/douro_river/get_loggers] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,931: +SERVICE [/douro_river/set_logger_level] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,939: publisherUpdate[/rosout] -> http://raspberrypi:44379/ ['http://raspberrypi:38779/', 'http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:58,945: publisherUpdate[/rosout] -> http://raspberrypi:44379/ ['http://raspberrypi:38779/', 'http://raspberrypi:37491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:58,964: +PUB [/IMC/In/Reference] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,970: +PUB [/IMC/In/EntityList] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,975: +PUB [/IMC/In/LogBookEntry] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,980: +PUB [/IMC/In/Sms] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,985: +PUB [/IMC/In/IridiumMsgTx] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:58,991: +PUB [/IMC/In/ReportControl] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,000: +SUB [/IMC/Out/EntityList] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,009: +SUB [/IMC/Out/Heartbeat] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,022: +SUB [/IMC/Out/Abort] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,041: publisherUpdate[/IMC/In/Reference] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:59,043: +SUB [/IMC/Out/VehicleState] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,051: publisherUpdate[/IMC/In/Reference] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:59,052: publisherUpdate[/IMC/In/EntityList] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:59,057: publisherUpdate[/IMC/In/EntityList] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:59,059: publisherUpdate[/IMC/In/LogBookEntry] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:59,063: publisherUpdate[/IMC/In/LogBookEntry] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:59,063: publisherUpdate[/IMC/In/Sms] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:59,067: publisherUpdate[/IMC/In/Sms] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:59,068: publisherUpdate[/IMC/In/IridiumMsgTx] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:59,071: +SUB [/IMC/Out/EstimatedState] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,074: publisherUpdate[/IMC/In/IridiumMsgTx] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:59,075: publisherUpdate[/IMC/In/ReportControl] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']
[rosmaster.master][INFO] 2021-11-05 12:48:59,078: publisherUpdate[/IMC/In/ReportControl] -> http://raspberrypi:38779/ ['http://raspberrypi:37491/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:59,086: +SUB [/IMC/Out/FollowRefState] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,100: +SUB [/IMC/Out/PlanControl] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,173: +SUB [/IMC/Out/Temperature] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,203: +SUB [/IMC/Out/Salinity] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,215: +PUB [/Vehicle/Out/Temperature_filtered] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,228: +PUB [/Vehicle/Out/Salinity_filtered] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,236: +PUB [/Vehicle/Out/EstimatedState_filtered] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,248: +SUB [/Vehicle/In/Waypoint] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:48:59,257: +SUB [/Vehicle/Out/Salinity_filtered] /douro_river http://raspberrypi:37491/
