timestamp, system, entity , value (psu)
1623928907.605, lauv-roald, SmartX, 8.282
1623928908.105, lauv-roald, SmartX, 8.343
1623928908.605, lauv-roald, SmartX, 8.366
1623928909.105, lauv-roald, SmartX, 8.346
1623928909.605, lauv-roald, SmartX, 8.354
1623928910.105, lauv-roald, SmartX, 8.353
1623928910.605, lauv-roald, SmartX, 8.322
1623928911.106, lauv-roald, SmartX, 8.333
1623928911.605, lauv-roald, SmartX, 8.374
1623928912.105, lauv-roald, SmartX, 8.366
1623928912.605, lauv-roald, SmartX, 8.343
1623928913.105, lauv-roald, SmartX, 8.341
1623928913.605, lauv-roald, SmartX, 8.266
1623928914.105, lauv-roald, SmartX, 8.234
1623928914.606, lauv-roald, SmartX, 8.247
1623928915.106, lauv-roald, SmartX, 8.262
1623928915.606, lauv-roald, SmartX, 8.271
1623928916.105, lauv-roald, SmartX, 8.294
1623928916.605, lauv-roald, SmartX, 8.298
1623928917.104, lauv-roald, SmartX, 8.309
1623928917.606, lauv-roald, SmartX, 8.281
1623928918.104, lauv-roald, SmartX, 8.290
1623928918.604, lauv-roald, SmartX, 8.297
1623928919.104, lauv-roald, SmartX, 8.273
1623928919.604, lauv-roald, SmartX, 8.283
1623928920.104, lauv-roald, SmartX, 8.288
1623928920.604, lauv-roald, SmartX, 8.299
1623928921.106, lauv-roald, SmartX, 8.251
1623928921.605, lauv-roald, SmartX, 8.234
1623928922.106, lauv-roald, SmartX, 8.197
1623928922.607, lauv-roald, SmartX, 15.560
1623928923.106, lauv-roald, SmartX, 19.010
1623928923.606, lauv-roald, SmartX, 17.988
1623928924.106, lauv-roald, SmartX, 18.436
1623928924.606, lauv-roald, SmartX, 19.263
1623928925.106, lauv-roald, SmartX, 19.265
1623928925.606, lauv-roald, SmartX, 19.310
1623928926.104, lauv-roald, SmartX, 19.411
1623928926.604, lauv-roald, SmartX, 19.475
1623928927.104, lauv-roald, SmartX, 19.409
1623928927.604, lauv-roald, SmartX, 19.258
1623928928.104, lauv-roald, SmartX, 19.062
1623928928.604, lauv-roald, SmartX, 18.892
1623928929.104, lauv-roald, SmartX, 18.886
1623928929.604, lauv-roald, SmartX, 18.911
1623928930.104, lauv-roald, SmartX, 18.978
1623928930.604, lauv-roald, SmartX, 18.967
1623928931.104, lauv-roald, SmartX, 18.989
1623928931.604, lauv-roald, SmartX, 18.882
1623928932.104, lauv-roald, SmartX, 18.853
1623928932.603, lauv-roald, SmartX, 18.826
1623928933.103, lauv-roald, SmartX, 18.763
1623928933.603, lauv-roald, SmartX, 18.689
1623928934.103, lauv-roald, SmartX, 18.670
1623928934.603, lauv-roald, SmartX, 18.685
1623928935.103, lauv-roald, SmartX, 18.635
1623928935.603, lauv-roald, SmartX, 18.646
1623928936.103, lauv-roald, SmartX, 18.594
1623928936.603, lauv-roald, SmartX, 18.535
1623928937.103, lauv-roald, SmartX, 18.495
1623928937.603, lauv-roald, SmartX, 18.490
1623928938.103, lauv-roald, SmartX, 18.480
1623928938.603, lauv-roald, SmartX, 18.479
1623928939.103, lauv-roald, SmartX, 18.497
1623928939.603, lauv-roald, SmartX, 18.522
1623928940.103, lauv-roald, SmartX, 18.540
1623928940.603, lauv-roald, SmartX, 18.532
1623928941.103, lauv-roald, SmartX, 18.484
1623928941.603, lauv-roald, SmartX, 18.446
1623928942.103, lauv-roald, SmartX, 18.410
1623928942.603, lauv-roald, SmartX, 18.418
1623928943.103, lauv-roald, SmartX, 18.423
1623928943.603, lauv-roald, SmartX, 18.386
1623928944.103, lauv-roald, SmartX, 18.365
1623928944.603, lauv-roald, SmartX, 18.295
1623928945.103, lauv-roald, SmartX, 18.244
1623928945.603, lauv-roald, SmartX, 18.196
1623928946.102, lauv-roald, SmartX, 18.070
1623928946.602, lauv-roald, SmartX, 18.049
1623928947.102, lauv-roald, SmartX, 18.018
1623928947.602, lauv-roald, SmartX, 18.041
1623928948.102, lauv-roald, SmartX, 17.951
1623928948.602, lauv-roald, SmartX, 17.966
1623928949.102, lauv-roald, SmartX, 17.926
1623928949.602, lauv-roald, SmartX, 17.929
1623928950.102, lauv-roald, SmartX, 17.933
1623928950.602, lauv-roald, SmartX, 17.900
1623928951.102, lauv-roald, SmartX, 17.926
1623928951.602, lauv-roald, SmartX, 17.910
1623928952.102, lauv-roald, SmartX, 17.902
1623928952.602, lauv-roald, SmartX, 17.905
1623928953.102, lauv-roald, SmartX, 17.849
1623928953.602, lauv-roald, SmartX, 17.858
1623928954.102, lauv-roald, SmartX, 17.858
1623928954.602, lauv-roald, SmartX, 17.844
1623928955.102, lauv-roald, SmartX, 17.846
1623928955.602, lauv-roald, SmartX, 17.839
1623928956.102, lauv-roald, SmartX, 17.819
1623928956.602, lauv-roald, SmartX, 17.831
1623928957.102, lauv-roald, SmartX, 17.790
1623928957.602, lauv-roald, SmartX, 17.800
1623928958.102, lauv-roald, SmartX, 17.811
1623928958.602, lauv-roald, SmartX, 17.811
1623928959.102, lauv-roald, SmartX, 17.814
1623928959.601, lauv-roald, SmartX, 17.812
1623928960.101, lauv-roald, SmartX, 17.814
1623928960.602, lauv-roald, SmartX, 17.802
1623928961.101, lauv-roald, SmartX, 17.794
1623928961.601, lauv-roald, SmartX, 17.782
1623928962.101, lauv-roald, SmartX, 17.785
1623928962.601, lauv-roald, SmartX, 17.780
1623928963.101, lauv-roald, SmartX, 17.778
1623928963.601, lauv-roald, SmartX, 17.774
1623928964.101, lauv-roald, SmartX, 17.773
1623928964.601, lauv-roald, SmartX, 17.771
1623928965.101, lauv-roald, SmartX, 17.767
1623928965.601, lauv-roald, SmartX, 17.768
1623928966.101, lauv-roald, SmartX, 17.769
1623928966.601, lauv-roald, SmartX, 17.767
1623928967.101, lauv-roald, SmartX, 17.748
1623928967.601, lauv-roald, SmartX, 17.746
1623928968.101, lauv-roald, SmartX, 17.739
1623928968.601, lauv-roald, SmartX, 17.727
1623928969.101, lauv-roald, SmartX, 17.723
1623928969.601, lauv-roald, SmartX, 17.693
1623928970.101, lauv-roald, SmartX, 17.690
1623928970.601, lauv-roald, SmartX, 17.686
1623928971.101, lauv-roald, SmartX, 17.688
1623928971.601, lauv-roald, SmartX, 17.674
1623928972.101, lauv-roald, SmartX, 17.674
1623928972.601, lauv-roald, SmartX, 17.676
1623928973.101, lauv-roald, SmartX, 17.680
1623928973.601, lauv-roald, SmartX, 17.681
1623928974.101, lauv-roald, SmartX, 17.682
1623928974.600, lauv-roald, SmartX, 17.679
1623928975.100, lauv-roald, SmartX, 17.677
1623928975.601, lauv-roald, SmartX, 17.680
1623928976.100, lauv-roald, SmartX, 17.681
1623928976.600, lauv-roald, SmartX, 17.674
1623928977.100, lauv-roald, SmartX, 17.681
1623928977.600, lauv-roald, SmartX, 17.671
1623928978.100, lauv-roald, SmartX, 17.668
1623928978.600, lauv-roald, SmartX, 17.672
1623928979.100, lauv-roald, SmartX, 17.667
1623928979.600, lauv-roald, SmartX, 17.671
1623928980.100, lauv-roald, SmartX, 17.668
1623928980.600, lauv-roald, SmartX, 17.674
1623928981.100, lauv-roald, SmartX, 17.666
1623928981.600, lauv-roald, SmartX, 17.667
1623928982.100, lauv-roald, SmartX, 17.663
1623928982.600, lauv-roald, SmartX, 17.662
1623928983.100, lauv-roald, SmartX, 17.656
1623928983.600, lauv-roald, SmartX, 17.656
1623928984.100, lauv-roald, SmartX, 17.661
1623928984.600, lauv-roald, SmartX, 17.655
1623928985.100, lauv-roald, SmartX, 17.657
1623928985.600, lauv-roald, SmartX, 17.648
1623928986.100, lauv-roald, SmartX, 17.661
1623928986.600, lauv-roald, SmartX, 17.660
1623928987.100, lauv-roald, SmartX, 17.660
1623928987.599, lauv-roald, SmartX, 17.653
1623928988.099, lauv-roald, SmartX, 17.648
1623928988.599, lauv-roald, SmartX, 17.628
1623928989.099, lauv-roald, SmartX, 17.632
1623928989.599, lauv-roald, SmartX, 17.621
1623928990.099, lauv-roald, SmartX, 17.630
1623928990.599, lauv-roald, SmartX, 17.624
1623928991.099, lauv-roald, SmartX, 17.620
1623928991.599, lauv-roald, SmartX, 17.611
1623928992.099, lauv-roald, SmartX, 17.611
1623928992.599, lauv-roald, SmartX, 17.588
1623928993.099, lauv-roald, SmartX, 17.599
1623928993.599, lauv-roald, SmartX, 17.597
1623928994.099, lauv-roald, SmartX, 17.570
1623928994.599, lauv-roald, SmartX, 17.555
1623928995.099, lauv-roald, SmartX, 17.540
1623928995.599, lauv-roald, SmartX, 17.527
1623928996.099, lauv-roald, SmartX, 17.533
1623928996.599, lauv-roald, SmartX, 17.517
1623928997.099, lauv-roald, SmartX, 17.510
1623928997.599, lauv-roald, SmartX, 17.503
1623928998.099, lauv-roald, SmartX, 17.513
1623928998.599, lauv-roald, SmartX, 17.500
1623928999.099, lauv-roald, SmartX, 17.509
1623928999.599, lauv-roald, SmartX, 17.494
1623929000.099, lauv-roald, SmartX, 17.495
1623929000.599, lauv-roald, SmartX, 17.491
1623929001.099, lauv-roald, SmartX, 17.468
