,depths
0,"[-707.9154928348208, -1126.6808723387571, 1636106794.780452, 3.633162159811367]"
1,"[-749.4684349962017, -1116.4769344823558, 1636106922.7808893, 3.60474487928429]"
2,"[-820.557824603979, -1076.065065525186, 1636106972.7808096, 4.315219390271889]"
3,"[-860.7912846314891, -1056.2724646572658, 1636107018.780464, 3.7333384336847244]"
4,"[-933.0266524238107, -1022.0548585842806, 1636107066.780756, 2.694364049819985]"
5,"[-973.4953921275386, -1003.3531046226939, 1636107113.7804449, 4.638379952823273]"
6,"[-1045.0513274615982, -969.6154786542755, 1636107161.7808154, 3.789279220080135]"
7,"[-1085.2459221254558, -951.0487651431564, 1636107209.7803195, 2.622404065698084]"
8,"[-1156.9185161173964, -917.2552444397115, 1636107257.7807624, 4.668817596002058]"
9,"[-1177.446169642982, -915.321578436205, 1636107403.7809603, 3.279054671525955]"
10,"[-1268.8121388290435, -864.7792536294323, 1636107451.780753, 2.780894921584563]"
11,"[-1309.6636437901548, -846.0239247095577, 1636107500.7804525, 0.4855614969826708]"
12,"[-1381.5621800895665, -812.1083372338825, 1636107548.7807004, 4.825828216894709]"
13,"[-1422.6319555067146, -793.1259984268686, 1636107596.7803497, 0.9621646040015751]"
14,"[-1493.3634469350977, -759.7788222067331, 1636107644.7807455, 3.4610541667601074]"
15,"[-1534.4299788615642, -740.7977210590401, 1636107693.7803833, 2.470944227594318]"
16,"[-1571.7559360984985, -743.2896701797686, 1636107741.7806613, 3.109648301745906]"
17,"[-1565.4653164286667, -762.6522396572959, 1636107882.780855, 4.672661489910549]"
18,"[-1530.4034198860168, -860.6770537401209, 1636107931.7807841, 2.6400630949723602]"
19,"[-1514.2051094638691, -903.6746201995379, 1636107980.7804174, 2.682330863644378]"
20,"[-1487.5334335160337, -977.708728810653, 1636108028.7808118, 3.8050457513091542]"
21,"[-1472.0394571153327, -1019.837965731047, 1636108077.7805245, 4.677183217171467]"
22,"[-1445.3658766629067, -1093.9941266792907, 1636108125.7807949, 3.6241400079293684]"
23,"[-1429.89501370956, -1136.050668870178, 1636108174.7805443, 3.576268691005129]"
24,"[-1403.2380390266333, -1210.172015318102, 1636108222.7809315, 3.622022067055558]"
25,"[-1391.928557775098, -1228.604265341537, 1636108364.7810385, 0.49272980834498553]"
26,"[-1360.8451551018632, -1327.703036919843, 1636108412.7807689, 2.627879731281839]"
27,"[-1345.0208485732192, -1370.1829888191696, 1636108462.7804906, 2.609712040785587]"
28,"[-1318.289360320881, -1444.426366738022, 1636108509.7807758, 4.705093005991945]"
29,"[-1303.003757379847, -1485.952221836139, 1636108559.7810109, 4.746589206685924]"
30,"[-1275.8274867325194, -1561.5069728570365, 1636108607.7807865, 4.5153750723058526]"
31,"[-1260.1234230650655, -1604.211292222911, 1636108656.780494, 2.708105602649727]"
32,"[-1235.1761678640557, -1658.0006362717506, 1636108679.7802362, 2.797503001160092]"
