,depths
33,"[-1220.1734633181902, -1655.9611368975698, 1636108772.7804463, 2.7708689651706]"
34,"[-1223.6566097690575, -1646.5847240947, 1636108791.7800632, 2.694089083960562]"
35,"[-1203.4307583233024, -1644.6792371546778, 1636108805.7799673, 2.157438731554783]"
36,"[-1188.9849718954626, -1629.7683872269808, 1636108818.7797816, 2.495296645044076]"
37,"[-1181.0104010194084, -1614.775781412837, 1636108831.7799861, 3.275490274935058]"
38,"[-1173.7055568104656, -1597.530897774148, 1636108849.7799387, 2.1135390202204385]"
39,"[-1163.9071554129291, -1579.5253986665095, 1636108866.7800322, 3.9358395807670825]"
40,"[-1161.4463618025043, -1571.5103476028505, 1636108888.7800946, 2.243507345517476]"
41,"[-1166.1134992813934, -1580.9561109196538, 1636108908.780421, 5.5078083656050945]"
42,"[-1156.0204706660759, -1575.4856321115915, 1636108932.7802432, 4.307388179229967]"
43,"[-1146.6669990373184, -1595.4817077897126, 1636108948.7800379, 3.772592717950994]"
44,"[-1146.6322610476275, -1615.901751457683, 1636108966.7800827, 3.383467197418213]"
45,"[-1139.0857735316356, -1634.8527352301962, 1636108985.7801678, 3.4911778623407534]"
46,"[-1122.1928712296688, -1651.0122240244998, 1636109005.7801247, 5.644041335943974]"
47,"[-1112.6948936295603, -1666.1617644018938, 1636109017.7798831, 4.8546512632658985]"
48,"[-1112.8986552261777, -1682.3112502944457, 1636109032.7800457, 4.480256030053804]"
49,"[-1112.513305647344, -1700.9021686063738, 1636109048.780041, 6.372229017392553]"
50,"[-1112.110305545011, -1720.7078600063974, 1636109065.7800078, 3.4965873655646735]"
51,"[-1103.7596285334791, -1732.8440141235162, 1636109083.780064, 4.885714426185146]"
52,"[-1095.414895576822, -1737.8759086794564, 1636109104.7801147, 5.945265389452077]"
53,"[-1105.5181185237584, -1751.4194329021059, 1636109116.7799404, 4.422382072968917]"
54,"[-1104.652936419898, -1766.2997315431107, 1636109129.7811933, 4.660831422516794]"
55,"[-1099.0577877132434, -1780.6654192882338, 1636109144.7799897, 3.8272974081713746]"
56,"[-1082.7022871716833, -1786.789877705199, 1636109258.7808967, 4.308006357966048]"
57,"[-1061.5175346207338, -1808.6289603466987, 1636109271.7799578, 4.2943928061109595]"
58,"[-1046.4529850601848, -1823.769109504032, 1636109286.7799718, 3.414170599947072]"
59,"[-1027.2894378066712, -1832.672608487541, 1636109304.779864, 3.637866801685757]"
60,"[-1006.2753342712786, -1825.1322000248886, 1636109323.7799938, 4.405386337126144]"
61,"[-990.97050743973, -1809.9039647262407, 1636109338.7808626, 4.113261449216592]"
62,"[-976.1568022666829, -1795.7482865695952, 1636109356.7798254, 4.568257505243475]"
63,"[-961.5629818050148, -1781.7716766286885, 1636109371.7796423, 4.3609144543156475]"
64,"[-947.5173597729527, -1768.3016498508268, 1636109388.78007, 2.403112469297467]"
65,"[-928.0185719277395, -1760.589728828534, 1636109409.7801642, 3.5858389897779985]"
66,"[-902.7707517547844, -1761.4627444322991, 1636109430.7802181, 3.7342499819668857]"
67,"[-879.9158974424743, -1761.8701405655925, 1636109447.780073, 2.9597734008172543]"
68,"[-867.5032081437223, -1769.9910833732, 1636109465.7800913, 1.1438660621643066]"
69,"[-875.0982403905883, -1788.364724631246, 1636109483.780061, 3.0979040162731906]"
70,"[-893.4667715206278, -1797.2746175816258, 1636109502.7800539, 3.3413788703354923]"
71,"[-914.3971832107887, -1797.3067851971282, 1636109518.7801287, 3.6680587614425506]"
72,"[-936.599660184568, -1797.740043696, 1636109539.7801316, 3.998370243443383]"
73,"[-949.0215331415079, -1793.2822999482871, 1636109556.780073, 4.49481201171875]"
74,"[-932.6365658402708, -1780.6773206744817, 1636109576.7801468, 3.111304133829444]"
75,"[-929.5334950234673, -1769.6271139548135, 1636109597.7801573, 4.3371382193131875]"
76,"[-943.3506560310743, -1764.3670345779578, 1636109711.7808132, 3.3317093126701587]"
77,"[-936.0625190567681, -1747.9710977466011, 1636109729.7801423, 4.025492104617032]"
78,"[-946.0877369523604, -1745.404720032333, 1636109749.7801173, 4.136803820277706]"
79,"[-927.8719131302565, -1731.8065033681328, 1636109765.7800703, 4.796619511613942]"
80,"[-912.0354114788834, -1716.5251406196155, 1636109783.780094, 4.587141610155202]"
81,"[-897.1175163102579, -1702.1283082213843, 1636109798.7800505, 2.3919382095336914]"
82,"[-891.8648989918883, -1691.6967163308832, 1636109812.7795498, 3.0897440910339355]"
83,"[-908.5647866025612, -1693.8691356915526, 1636109829.7795565, 2.2981694364788554]"
84,"[-929.7934401450865, -1694.0982526581654, 1636109847.780042, 2.7220210393871924]"
85,"[-950.2994388413179, -1694.434988072707, 1636109863.7800765, 1.1613829930623374]"
86,"[-968.3724854438132, -1694.7312671541276, 1636109877.780054, 2.192264282643193]"
87,"[-984.6236301548722, -1694.9978193835911, 1636109890.7800508, 1.8129792935920483]"
88,"[-1002.0757560563337, -1695.2846011114657, 1636109906.7800627, 2.0904754936093033]"
89,"[-1017.7940134154753, -1700.364376411915, 1636109920.7795842, 3.055946309157092]"
90,"[-1030.9986002302987, -1715.0105935031904, 1636109939.7801657, 2.484687890067245]"
91,"[-1045.8667881966653, -1730.6455888560315, 1636109956.7800636, 2.2370738983154297]"
92,"[-1059.9161853847802, -1745.4614154317444, 1636109973.780044, 3.066001046486575]"
93,"[-1073.1236930680102, -1759.4051872286243, 1636109988.7800448, 4.628807948093222]"
94,"[-1081.7472625565597, -1758.880025988004, 1636110012.7802258, 3.417177171418161]"
95,"[-1084.647100050458, -1746.6753024766108, 1636110031.7801404, 3.987171653545264]"
96,"[-1098.3921140594584, -1764.575996361412, 1636110052.7801251, 2.992786802426733]"
97,"[-1111.219725309235, -1787.6820065613515, 1636110145.7801604, 2.63130990814681]"
98,"[-1107.7758120977323, -1805.417364132533, 1636110163.7797308, 1.8976488884049232]"
99,"[-1126.159438072546, -1820.131341879783, 1636110176.7800183, 2.819108840191003]"
100,"[-1134.5296464371747, -1838.278274189997, 1636110191.78004, 2.609245118468699]"
101,"[-1133.626727329078, -1859.5825805536977, 1636110206.7800953, 3.451283671639182]"
102,"[-1133.1351130669564, -1882.3806347562895, 1636110225.7799304, 3.662645500717741]"
103,"[-1132.6566699815105, -1904.8258260932512, 1636110241.7799082, 3.67690750083538]"
104,"[-1132.1700785660405, -1927.31460548767, 1636110261.7801695, 3.9939058778261898]"
105,"[-1131.6862390239157, -1950.0199569256367, 1636110278.780085, 3.0294113207345057]"
106,"[-1123.52110382107, -1962.827882483378, 1636110296.779672, 5.101597742600874]"
107,"[-1110.2630668473328, -1966.8451582482855, 1636110309.7799926, 4.079113122188684]"
108,"[-1117.429797660766, -1981.797017887138, 1636110326.780071, 4.775037416304]"
109,"[-1131.2050006699421, -1996.003112877706, 1636110342.780084, 4.663553050070098]"
110,"[-1145.1393479074866, -2010.9566319684463, 1636110360.7800996, 4.939609175980693]"
111,"[-1158.6593030126817, -2025.475598646833, 1636110375.780078, 4.198257301792954]"
112,"[-1171.4424664049652, -2028.8172386229558, 1636110392.7800713, 4.808786876273878]"
113,"[-1186.82441862339, -2024.3595733294055, 1636110411.7800808, 3.7840912269823477]"
114,"[-1193.7448970404196, -2041.2311226557183, 1636110428.780118, 5.870809140831533]"
115,"[-1192.8579671253162, -2059.125938262932, 1636110441.780141, 6.3020452489756575]"
116,"[-1192.4525024755187, -2075.9306095701195, 1636110456.7800503, 5.154034527865323]"
117,"[-1192.0312771221497, -2093.304325777471, 1636110470.7796133, 4.670879356788866]"
118,"[-1191.6053328791784, -2110.7077829765435, 1636110485.7800338, 4.487614451032696]"
119,"[-1191.1537856888608, -2129.3013350177484, 1636110501.780083, 3.365347910409022]"
120,"[-1190.6816627335702, -2148.476642878177, 1636110517.7800894, 4.4615381486488115]"
121,"[-1182.6148137753894, -2149.357183203777, 1636110615.7807856, 3.884619809160329]"
122,"[-1189.5510634786583, -2151.5816393528103, 1636110631.7800648, 4.446782290333449]"
123,"[-1189.3661171758936, -2176.2983683720886, 1636110644.7800097, 4.928003506226974]"
124,"[-1183.0138527302524, -2194.7305079610883, 1636110659.780032, 3.926517417936614]"
125,"[-1173.9330776519096, -2212.193801703323, 1636110675.7800364, 4.063368667255748]"
126,"[-1181.4900550986033, -2231.564576268135, 1636110693.7801287, 4.668944364846355]"
127,"[-1191.02764459002, -2248.2780096767965, 1636110708.7800455, 2.4828442034095226]"
128,"[-1194.6133511882178, -2259.0505787179436, 1636110722.7800307, 3.559121211369832]"
129,"[-1200.7846720761418, -2249.5567350143833, 1636110728.7797742, 5.496850216027462]"
130,"[-1206.4607707163245, -2248.4691331551094, 1636110741.7800908, 5.7981063765708845]"
131,"[-1196.067880201989, -2257.8939945442035, 1636110757.780044, 4.437979563318118]"
132,"[-1182.6113261061214, -2271.7596179465872, 1636110773.7800093, 5.036689259789206]"
133,"[-1168.6121558367688, -2285.8932738696994, 1636110790.7800832, 4.101023895571931]"
134,"[-1165.3287408109886, -2304.618143060984, 1636110811.780068, 3.6487107276916504]"
135,"[-1183.3040755253073, -2312.8668064359977, 1636110830.7801101, 1.7855644226074219]"
136,"[-1203.8190411770147, -2304.8364235481804, 1636110851.780151, 3.615446377884258]"
137,"[-1223.8943574517061, -2284.217354929766, 1636110875.7802732, 2.200233221054077]"
138,"[-1240.859391028327, -2267.253827764154, 1636110894.7801065, 3.2195666125326445]"
139,"[-1257.3727728338602, -2250.7014805540575, 1636110914.7801309, 3.553333206610246]"
140,"[-1273.0234516883004, -2234.995526764627, 1636110931.7795794, 3.248847083611922]"
141,"[-1288.684702002386, -2219.243021084025, 1636110951.780085, 2.529215061303341]"
142,"[-1305.1667593770876, -2202.645101551719, 1636110970.7800617, 3.1172900079476715]"
143,"[-1310.1823379376485, -2176.5326798471897, 1636111082.4316196, 5.244604490923159]"
144,"[-1294.158424765539, -2169.2723868860276, 1636111094.4315047, 3.973073699257591]"
145,"[-1306.42835940509, -2173.8874980548485, 1636111107.4315405, 3.9810530609554715]"
146,"[-1327.4267074651023, -2173.9174679101707, 1636111123.4315934, 3.282231519920657]"
147,"[-1351.0842069903997, -2165.353481388799, 1636111144.4316564, 4.093847101384943]"
148,"[-1374.0191219620222, -2153.9192587732027, 1636111165.4316287, 3.702358390345718]"
149,"[-1393.2228298856016, -2146.934382586767, 1636111184.431693, 3.5946508176399]"
150,"[-1408.7873097804527, -2130.590919872489, 1636111202.4316592, 1.392447829246521]"
151,"[-1414.7395180904734, -2116.998073043857, 1636111216.4315495, 2.1441668019150244]"
152,"[-1402.2207826952908, -2106.5327503469857, 1636111230.4315636, 2.4324064862848536]"
153,"[-1388.5361750351215, -2092.93179221341, 1636111248.4317622, 1.958697722114698]"
154,"[-1374.0282791203713, -2078.5357983077274, 1636111264.4316003, 1.1206274598535866]"
155,"[-1359.9935115335823, -2062.320159081251, 1636111282.895468, 1.9038016185013937]"
156,"[-1348.4880225614695, -2050.8774398581204, 1636111295.8954656, 1.6314384828914297]"
157,"[-1333.6376437166214, -2036.1135596656122, 1636111314.54446, 2.182249105638928]"
158,"[-1321.130348212222, -2023.6294676253497, 1636111328.544425, 2.2931887609790067]"
159,"[-1305.1435590174353, -2016.3571857175457, 1636111346.544529, 1.7717422448625468]"
160,"[-1280.6009002752076, -2016.7195886265436, 1636111365.5444815, 2.014951362152292]"
161,"[-1261.4138027481672, -2016.6526757683096, 1636111382.544451, 1.7923827568689983]"
162,"[-1242.198009701046, -2016.5858589695833, 1636111397.5444834, 3.2269995621960574]"
163,"[-1221.2177331990229, -2016.512354021898, 1636111417.544558, 4.962711610577323]"
164,"[-1207.3663090907341, -2013.3285074889216, 1636111431.5444634, 3.46508814349319]"
165,"[-1215.8823276981186, -2020.4461221584127, 1636111551.8963487, 2.319168432794436]"
166,"[-1183.3081171103622, -2019.5443830234792, 1636111570.8955128, 2.383800790767477]"
167,"[-1162.4343425816814, -2025.8763974434291, 1636111586.8955486, 2.532370399345051]"
168,"[-1147.7304440627645, -2041.1810869056735, 1636111601.8954737, 2.182762223060685]"
169,"[-1133.4048733777154, -2055.537554028205, 1636111617.8955295, 1.8304932295071958]"
170,"[-1122.7546081100177, -2075.9816984429285, 1636111636.8954146, 3.357007896057283]"
171,"[-1122.815003020196, -2097.5952463048425, 1636111656.8956091, 2.1744267579280967]"
