,depths
0,"[-196.8223914284638, -1131.9152470141012, 1631273973.3541956, 0.0]"
1,"[-238.14340931486907, -1116.0214293936683, 1631274006.3535225, 0.0]"
2,"[-313.0049306617394, -1080.5694739594205, 1631274055.3540175, 4.941946313838765]"
3,"[-353.8532635840847, -1062.186678402902, 1631274102.3536704, 3.34415955013699]"
4,"[-424.217084044766, -1028.5139151731742, 1631274150.3540728, 3.2797942522800327]"
5,"[-465.28061051282856, -1009.9406467072426, 1631274198.353671, 4.667991798634481]"
6,"[-536.7238273309852, -975.8488010389278, 1631274246.3540618, 0.0]"
7,"[-577.7391961051866, -957.2985428862498, 1631274295.353679, 2.61757697511201]"
8,"[-648.6817780570083, -923.4355533570471, 1631274342.3540065, 3.624989322640679]"
9,"[-689.4754538436839, -904.9973389778896, 1631274391.3536873, 4.8306571046511335]"
10,"[-761.0867975840539, -870.8237379755279, 1631274439.3540058, 2.6997745398319126]"
11,"[-802.1441537370924, -852.2606371719131, 1631274487.3536143, 3.838403875177557]"
12,"[-872.8952252819087, -818.4925683332144, 1631274535.3540173, 2.6250749976948056]"
13,"[-913.9599886046711, -799.9256990407499, 1631274584.353653, 6.934785381110027]"
14,"[-985.8194488599482, -765.6292240697759, 1631274632.3540063, 3.660491146824577]"
15,"[-1026.597335733155, -747.1922809634232, 1631274681.3536582, 2.6319172842936083]"
16,"[-1097.8952972703062, -713.1625958882498, 1631274728.3539684, 4.513189692087847]"
17,"[-1138.5296294984516, -694.8002762236932, 1631274777.3536568, 0.4584578022812352]"
18,"[-1212.2802908296276, -661.3796891149585, 1631274825.3540096, 2.41956465412872]"
19,"[-1253.7277425800557, -642.6195707455973, 1631274874.3536682, 4.412371024037852]"
20,"[-1324.1948562695156, -608.9905614512326, 1631274921.3539932, 0.6282585708781927]"
21,"[-1365.142681734676, -590.4841496531116, 1631274970.3536737, 2.627147910269824]"
22,"[-1436.8614683565886, -556.2588733833734, 1631275018.3540144, 0.4225190600963554]"
23,"[-1477.4490228311731, -537.907277373109, 1631275067.3536398, 0.34787899255752563]"
24,"[-1516.7632518649962, -540.6766881015118, 1631275115.3540177, 1.100433759617083]"
25,"[-1499.6813275543022, -582.4782079071683, 1631275165.3536763, 3.7895559397610747]"
26,"[-1472.9752256094368, -657.6950647824873, 1631275213.35404, 2.717401880206484]"
27,"[-1456.9609272136822, -699.9130263043072, 1631275262.3536747, 4.71643091271622]"
28,"[-1430.9043709480213, -773.6422575121384, 1631275309.354006, 4.65047725764188]"
29,"[-1415.0761991679676, -815.5383546126554, 1631275358.3536708, 4.615668004209345]"
30,"[-1388.4450447640272, -890.720252438083, 1631275406.3539855, 6.471690951573729]"
31,"[-1372.4671743829365, -933.0774265702918, 1631275455.3536837, 6.379818344959104]"
32,"[-1346.112863154127, -1007.4579811850917, 1631275503.3540146, 5.096330696886236]"
33,"[-1330.1672668046517, -1049.7141239011519, 1631275552.353665, 0.3268516957759857]"
34,"[-1303.8658541482182, -1123.9611464174686, 1631275600.35402, 3.6947023880602137]"
35,"[-1287.871926252779, -1166.3572457555877, 1631275649.3536737, 3.626950345858179]"
36,"[-1261.1877139466824, -1241.6455211503496, 1631275697.3539958, 6.491268431899523]"
37,"[-1245.457775738239, -1283.2995748334758, 1631275746.3536642, 0.0]"
38,"[-1218.8637288251152, -1358.3472810747637, 1631275794.354271, 6.320416678081859]"
39,"[-1202.987981346465, -1400.4068343662325, 1631275843.3536828, 3.712461372517576]"
40,"[-1176.5043398490836, -1475.14054722417, 1631275891.3540075, 6.454963599190568]"
41,"[-1160.475447538627, -1517.6187880172165, 1631275940.3536797, 0.0]"
42,"[-1134.2519719792751, -1591.6350459284095, 1631275988.3540106, 0.0]"
43,"[-1118.212599514267, -1634.1235396016857, 1631276037.3536718, 0.0]"
44,"[-1091.9843884864722, -1708.1651628963857, 1631276084.3539906, 0.0]"
45,"[-1076.2205297331259, -1749.873867291902, 1631276133.3536847, 0.0]"
46,"[-1049.6409450538074, -1823.0013501088902, 1631276181.3540108, 0.0]"
47,"[-1033.7226819874613, -1865.1860364576146, 1631276230.3536792, 0.0]"
48,"[-1001.405990051579, -1983.249048695517, 1631276307.3533242, 0.0]"
49,"[-1017.5638005270337, -1998.61282052664, 1631276319.3532255, 0.0]"
50,"[-1032.195209460615, -2013.4104204424702, 1631276333.3532798, 0.0]"
51,"[-1047.1223430118177, -2028.5076733409278, 1631276348.353295, 0.0]"
52,"[-1061.5494901194159, -2043.1243569354792, 1631276363.3532808, 0.0]"
53,"[-1074.8728847696007, -2056.643942374894, 1631276377.3532712, 0.0]"
54,"[-1089.9935938106648, -2064.615657755624, 1631276392.3533037, 0.0]"
55,"[-1108.0114295171409, -2064.5125341904604, 1631276406.3532581, 0.0]"
56,"[-1125.8146644500453, -2064.6744501820776, 1631276421.3532977, 0.0]"
57,"[-1142.8787310842679, -2064.823918972286, 1631276434.353247, 0.0]"
58,"[-1158.045196142502, -2064.9568620123487, 1631276446.353085, 0.0]"
59,"[-1171.9269084876582, -2065.0784587860003, 1631276457.353197, 0.0]"
60,"[-1183.402856012184, -2065.178846144428, 1631276465.3531258, 0.0]"
61,"[-1191.8905814063514, -2063.6810600312247, 1631276472.3530984, 0.0]"
62,"[-1198.341975986998, -2057.4550420614164, 1631276480.353122, 0.0]"
63,"[-1204.7149236800171, -2051.075708349204, 1631276487.3530912, 0.0]"
64,"[-1211.081051965599, -2044.7022934282525, 1631276495.3531256, 0.0]"
65,"[-1217.8766967256745, -2037.894635608547, 1631276503.3531125, 0.0]"
66,"[-1224.6947095990345, -2031.0594515014793, 1631276511.3531392, 0.0]"
67,"[-1231.4631342689681, -2024.269351983188, 1631276519.3534322, 0.0]"
68,"[-1238.2552583812992, -2017.4498645643787, 1631276527.3531406, 0.0]"
69,"[-1245.010036289779, -2010.6632923310842, 1631276535.3531313, 0.0]"
70,"[-1252.2252451203767, -2003.4089195151346, 1631276544.3531563, 0.0]"
71,"[-1259.0029772832404, -1996.5884761972204, 1631276551.353103, 0.0]"
72,"[-1265.3306100964978, -1990.2160430109461, 1631276559.3531332, 0.0]"
73,"[-1272.0919848879967, -1983.4023224300881, 1631276567.3532772, 0.0]"
74,"[-1279.2815975238464, -1976.151580426488, 1631276576.3531554, 0.0]"
75,"[-1286.4586732984505, -1968.9086192319082, 1631276584.3531134, 0.0]"
76,"[-1293.6486810380152, -1961.6464759437881, 1631276593.3529782, 0.0]"
77,"[-1300.8344489534861, -1954.3830943142138, 1631276601.3531191, 0.0]"
78,"[-1308.0051738223365, -1947.1289685733354, 1631276610.3531551, 0.0]"
79,"[-1314.7417010381507, -1940.3093687086493, 1631276617.3530967, 0.0]"
80,"[-1321.0584880312472, -1933.909171569626, 1631276625.3531275, 0.0]"
81,"[-1327.7938189308868, -1927.080248811799, 1631276633.353124, 0.0]"
82,"[-1334.5212343334576, -1920.254102034458, 1631276641.3531048, 0.0]"
83,"[-1342.4019075829938, -1912.25402607516, 1631276702.3538322, 0.0]"
84,"[-1372.1186755215415, -1882.3647721601944, 1631276712.3532217, 0.0]"
85,"[-1380.817013697937, -1873.4643099373643, 1631276719.3531055, 0.0]"
86,"[-1388.8874581987159, -1865.2295099276514, 1631276725.3530867, 0.0]"
87,"[-1395.8676683969454, -1858.1006945146505, 1631276731.3530874, 0.0]"
88,"[-1402.5906798377046, -1851.2291231388617, 1631276737.353079, 0.0]"
89,"[-1408.954974101602, -1844.7188859101889, 1631276743.3530798, 0.0]"
90,"[-1416.1337698102045, -1837.3699496286151, 1631276751.3531191, 0.0]"
91,"[-1423.5437338721433, -1829.7786450977715, 1631276758.3530915, 0.0]"
92,"[-1430.271490917375, -1822.8806006881791, 1631276765.353091, 0.0]"
93,"[-1436.8101632283526, -1816.1713460339586, 1631276772.3530972, 0.0]"
94,"[-1441.594727019534, -1808.2330084418827, 1631276780.3530092, 0.0]"
95,"[-1441.5278967024124, -1798.004951130969, 1631276788.353135, 0.0]"
96,"[-1441.332720401222, -1787.2218655609806, 1631276797.3531616, 0.0]"
97,"[-1441.1468866468956, -1776.6077426152422, 1631276805.3531396, 0.0]"
98,"[-1440.9714690645924, -1766.6092792329862, 1631276813.3531363, 0.0]"
99,"[-1440.799844563061, -1756.818681728205, 1631276821.3531284, 0.0]"
100,"[-1440.6177980966395, -1746.4154850909035, 1631276830.3531568, 0.0]"
101,"[-1440.436548690018, -1736.0428204594446, 1631276838.353115, 0.0]"
102,"[-1440.266609648912, -1726.3105040801875, 1631276846.3531256, 0.0]"
103,"[-1440.0979765058921, -1716.6721039854, 1631276854.3530805, 0.0]"
104,"[-1439.917120719489, -1706.3511885956177, 1631276863.3531396, 0.0]"
105,"[-1439.6744669080554, -1692.473327953914, 1631276874.3531258, 0.0]"
106,"[-1439.5064511101884, -1682.841869114179, 1631276882.353106, 0.0]"
107,"[-1439.3491835850166, -1673.8099618335868, 1631276889.3530948, 0.0]"
108,"[-1439.1820036901754, -1664.2230399737864, 1631276898.3531246, 1.5662370920181274]"
109,"[-1440.8543559511836, -1654.625705697016, 1631276906.3531108, 0.0]"
110,"[-1445.5646947980454, -1645.6737508913773, 1631276916.353173, 0.0]"
111,"[-1445.3480786549035, -1634.3475084349775, 1631276925.3531451, 0.0]"
112,"[-1445.1568470332602, -1623.5291982794608, 1631276934.3531494, 0.0]"
113,"[-1444.976873854747, -1613.3548746008921, 1631276942.3531272, 2.237796075416334]"
