,depths
0,"[2175.9936588032165, 1859.1365520622448, 1631101212.770184, 0.0]"
1,"[2133.248743802006, 1875.7210038875846, 1631101244.7694104, 0.0]"
2,"[2061.0456396019094, 1910.0025206153405, 1631101292.7698805, 0.0]"
3,"[2020.2899531298428, 1928.454254149176, 1631101340.7695427, 0.0]"
4,"[1948.87363400695, 1962.540855371406, 1631101388.7698896, 6.701962046550983]"
5,"[1907.2482891084335, 1981.3319102892883, 1631101436.7695746, 3.653510733084245]"
6,"[1835.8753362459101, 2015.450396663472, 1631101484.7698786, 4.6709558530287305]"
7,"[1794.9938090620985, 2033.9474645997348, 1631101532.769624, 3.592652408462582]"
8,"[1723.7694956509172, 2067.943053522892, 1631101580.7698843, 0.30464816093444824]"
9,"[1682.791474394398, 2086.491810108781, 1631101629.769544, 2.5485739906628924]"
10,"[1611.5031168607854, 2120.5192051800145, 1631101676.7698336, 0.8603062126973663]"
11,"[1571.0296373358494, 2138.811388040158, 1631101725.769593, 4.715092240860968]"
12,"[1499.438353096692, 2172.9891058171997, 1631101773.7699273, 0.5065412232370088]"
13,"[1457.8957189782507, 2191.7963995881832, 1631101821.7695775, 3.7879417303836704]"
14,"[1387.6539213126534, 2225.328048645927, 1631101869.769919, 3.6705108092288783]"
15,"[1346.3104681249974, 2244.0454109020084, 1631101918.7693667, 2.41229298620513]"
16,"[1307.3837097195074, 2240.488569341906, 1631101966.7699313, 1.0127238399452634]"
17,"[1324.4938745455938, 2198.801722878807, 1631102016.7695904, 0.2967771589756012]"
18,"[1350.8464668485155, 2124.5239710134033, 1631102063.7698686, 3.597123169537747]"
19,"[1366.6104660807669, 2082.8421705071114, 1631102112.769562, 2.6981898510094844]"
20,"[1393.07448061317, 2008.092210772624, 1631102160.7716777, 2.635102961400543]"
21,"[1409.0560219300817, 1965.7361118663646, 1631102209.7695482, 2.49428462921971]"
22,"[1435.5931238777994, 1890.7684562585123, 1631102257.7698948, 0.6022369307701034]"
23,"[1451.5772050406583, 1848.4020581803347, 1631102305.7695656, 2.7345047526889377]"
24,"[1477.8021295988337, 1774.3285812796612, 1631102353.7700834, 4.6487872925671665]"
25,"[1493.6419065875073, 1732.3545700707343, 1631102402.7695746, 4.888188275423917]"
26,"[1520.2747603569255, 1657.1391838142401, 1631102450.77004, 3.4598888212984256]"
27,"[1536.2096634047803, 1614.8937786696367, 1631102499.7699325, 4.376053441654552]"
28,"[1562.4719618641636, 1540.718382641731, 1631102547.7700331, 0.6038090701055046]"
29,"[1578.6471754970944, 1497.828370102574, 1631102596.7695699, 0.0]"
30,"[1604.7666071550518, 1424.0324280308246, 1631102643.7698557, 3.7723721485547346]"
31,"[1620.5596639431428, 1382.2047450634439, 1631102692.7695563, 0.0]"
32,"[1653.2746263310062, 1269.8075281411054, 1631102766.7690094, 0.0]"
33,"[1638.483590448658, 1273.4723010547998, 1631102774.769156, 0.0]"
34,"[1629.3183265914718, 1282.4957276024393, 1631102781.7690084, 0.0]"
35,"[1621.2387318431781, 1290.5180915801695, 1631102788.7690141, 0.0]"
36,"[1611.9336725123478, 1296.0427886772784, 1631102796.7690578, 0.0]"
37,"[1602.4357225941774, 1292.8625353229065, 1631102804.7690418, 0.0]"
38,"[1605.4619705247455, 1285.2842226136001, 1631102814.769088, 0.0]"
39,"[1605.1877013359901, 1293.8814991543043, 1631102823.7690468, 0.0]"
40,"[1596.4045246807707, 1302.692443047324, 1631102833.7690923, 0.0]"
41,"[1587.747803321911, 1311.3049226496073, 1631102842.7689972, 0.0]"
42,"[1578.7770925926209, 1320.2351986910494, 1631102853.7691174, 0.0]"
43,"[1569.49503500931, 1329.481477360608, 1631102863.7690904, 0.0]"
44,"[1560.3257413679826, 1338.6225414247729, 1631102874.769013, 0.0]"
45,"[1554.0700033871435, 1348.9992127717103, 1631102884.7690747, 0.0]"
46,"[1551.7696162729574, 1359.6687267256875, 1631102893.7691293, 0.0]"
47,"[1544.597855930285, 1367.0041831216695, 1631102901.7699502, 0.0]"
48,"[1536.8132307576734, 1371.8612561549828, 1631102909.7690203, 0.0]"
49,"[1527.816470650469, 1371.892251985916, 1631102916.7693188, 0.0]"
50,"[1520.400378055441, 1374.9195513478082, 1631102925.7693598, 0.0]"
51,"[1518.0435288795227, 1384.0509338655563, 1631102933.7690158, 1.6188705256490996]"
52,"[1509.2713085613634, 1393.0739133441036, 1631102946.769157, 2.11276937976028]"
53,"[1497.0615125279028, 1400.0237726519053, 1631102958.7691479, 2.5979752564671066]"
54,"[1486.506300966329, 1407.946505136538, 1631102976.7693388, 2.610147556873283]"
55,"[1481.8182435082533, 1425.940272632407, 1631102992.7691903, 2.1345410443315602]"
56,"[1473.5428138480872, 1442.2871307528508, 1631103009.7693267, 2.4234671857621937]"
57,"[1468.9453292893636, 1459.5104168661892, 1631103024.7692149, 3.421988872566608]"
58,"[1461.1583753360455, 1477.8385749514061, 1631103045.7693727, 2.572681658797794]"
59,"[1454.9367351244907, 1499.137736033098, 1631103064.769291, 4.004773060480753]"
60,"[1437.0528771821068, 1516.8751368936387, 1631103087.7694175, 5.828059977052188]"
61,"[1422.268308008575, 1531.7889005232769, 1631103099.7691698, 4.750963673447117]"
62,"[1415.7331208776259, 1544.7679137304144, 1631103113.7692072, 4.0103899950932975]"
63,"[1423.970079892038, 1567.965387306389, 1631103174.770196, 5.800786000911636]"
64,"[1426.3855588768124, 1577.559737338478, 1631103195.769287, 5.688483262603933]"
65,"[1410.3795002715497, 1569.1436978821876, 1631103208.7692575, 2.5723772699182685]"
66,"[1409.886293367103, 1587.4629757358962, 1631103221.7694113, 3.6819936458510583]"
67,"[1402.3543376635025, 1607.1422632565402, 1631103240.7693138, 4.485172200082529]"
68,"[1391.7916737228609, 1629.8586843632825, 1631103262.7693822, 4.331553342968526]"
69,"[1386.3188556644009, 1652.2238428763299, 1631103279.7692385, 4.265893134203824]"
70,"[1377.397775955864, 1670.7794488104819, 1631103298.769303, 3.257018360224637]"
71,"[1371.139654130775, 1691.310019256372, 1631103317.7693, 4.478953089376892]"
72,"[1361.561007731466, 1711.5340097891353, 1631103338.7693086, 2.7158598105112715]"
73,"[1354.6892148624831, 1733.8601657540437, 1631103359.7693176, 2.6037528803854277]"
74,"[1344.4014359980674, 1753.0098599375444, 1631103377.7692535, 2.6854503540077594]"
75,"[1339.5870738076635, 1771.343500813249, 1631103393.769112, 3.5128481568712178]"
76,"[1331.5794873360571, 1790.2029328806877, 1631103414.769352, 3.8432035012678667]"
77,"[1326.8382891067015, 1810.3203467378792, 1631103430.7692978, 1.7192378212707211]"
78,"[1318.5506422907297, 1824.8895652506676, 1631103444.7691934, 2.869534250461694]"
79,"[1313.9366118584085, 1840.3766174162402, 1631103459.7693808, 1.8981279929478965]"
80,"[1306.2688434872296, 1856.3738849223648, 1631103476.7692647, 1.773435910542806]"
81,"[1301.8869977362467, 1873.6619551286813, 1631103491.7692115, 4.444814008895797]"
82,"[1294.4029717423393, 1893.2925694259486, 1631103514.7694294, 1.0698442459106445]"
83,"[1288.0742164659212, 1916.2956151610633, 1631103534.7693503, 3.568833372207603]"
84,"[1252.345700299468, 1964.9903327332238, 1631103614.7692175, 1.843102798919485]"
85,"[1266.564603259267, 1956.165131138958, 1631103629.7691927, 2.9301790324124424]"
86,"[1251.1439608302544, 1940.3903306440354, 1631103644.7692025, 2.0459932630712334]"
87,"[1236.17558382292, 1925.2681775912422, 1631103659.769196, 3.2105148488825015]"
88,"[1217.7735540649928, 1916.5909950880193, 1631103677.7702177, 3.63157704743472]"
89,"[1198.776244019891, 1922.2796790429352, 1631103692.769209, 3.5430226614980986]"
90,"[1196.8862648056718, 1930.6546877052908, 1631103712.7691646, 3.985132407660436]"
91,"[1202.0683685985114, 1915.9516345878017, 1631103728.7692575, 1.727326512336731]"
92,"[1187.9332785042627, 1907.8228213101788, 1631103741.7691607, 4.050633444930568]"
93,"[1172.8356047782659, 1908.067020080079, 1631103753.7691448, 3.570659309926659]"
94,"[1156.9445586000572, 1914.9489674439758, 1631103772.7693033, 1.3062163579343546]"
95,"[1137.7471494086117, 1925.016269296303, 1631103792.7692719, 0.7859792107283468]"
96,"[1119.9718352471273, 1928.569166714049, 1631103804.769113, 2.2361367823499623]"
97,"[1109.0105284536344, 1935.410647098243, 1631103815.7690947, 2.027110801802741]"
98,"[1095.0296211289312, 1930.0787951690884, 1631103831.769271, 2.292108897006873]"
99,"[1083.995303264629, 1926.1623252048855, 1631103846.769217, 1.9265530109405518]"
100,"[1084.1514657386167, 1943.762324787059, 1631103862.7696254, 2.391575930696545]"
101,"[1079.5769849188334, 1960.5273346557315, 1631103877.7692032, 3.077441172166304]"
102,"[1064.360734308491, 1962.8411015620693, 1631103897.7694285, 1.7357896945693276]"
103,"[1049.2114728338697, 1946.9451924247894, 1631103914.770355, 3.11228674288952]"
104,"[1045.9552493895644, 1931.1129199295583, 1631103933.769292, 0.8065578504042192]"
105,"[1051.4547643521394, 1915.6803173718986, 1631103950.7692375, 1.141943334329008]"
106,"[996.082102913555, 1875.399927373742, 1631104025.7691247, 0.5407889924868189]"
107,"[984.2412602507051, 1888.3164490987215, 1631104034.7691329, 0.6124271925049599]"
108,"[974.216791793434, 1898.7400638585102, 1631104042.7690802, 1.3221856271377717]"
109,"[965.4337603298022, 1907.891440383044, 1631104050.7690244, 1.8328192137708568]"
110,"[959.6354984754325, 1920.4900006599892, 1631104062.7691226, 0.6448107704971776]"
