,depths
0,"[1286.6751903569498, 1100.0347484551442, 1631261833.8275304, 0.0]"
1,"[1243.861029329648, 1116.6509132077608, 1631261865.8267817, 0.0]"
2,"[1170.9315816180838, 1151.2616099227753, 1631261914.8272853, 4.794743422908012]"
3,"[1129.494741552252, 1170.029810476517, 1631261961.8269389, 3.586810236627405]"
4,"[1059.0649740576798, 1203.6456786612353, 1631262009.8272624, 3.674336651961009]"
5,"[1017.9971330106667, 1222.2205634508318, 1631262057.8268166, 4.749272146008231]"
6,"[946.6893756689999, 1256.2571368307365, 1631262105.827134, 0.0]"
7,"[905.8920311302485, 1274.706611731162, 1631262154.8269064, 2.61261114116871]"
8,"[834.1111064167778, 1308.9710076407803, 1631262202.8272896, 2.919009842354842]"
9,"[793.1612826045554, 1327.4828458650727, 1631262250.8269558, 2.6577646958105494]"
10,"[722.0461039958958, 1361.4330577791134, 1631262298.8272214, 2.5564395785331726]"
11,"[681.2991964636898, 1379.8524521993434, 1631262347.8267937, 1.2365134942411173]"
12,"[609.7916587082545, 1413.9951720023562, 1631262394.8272254, 1.2733924346740801]"
13,"[569.5219451001774, 1432.193850146146, 1631262443.826935, 3.7698201410698164]"
14,"[498.10821098271646, 1466.2793142161913, 1631262491.8272812, 4.775952471627129]"
15,"[456.72461506687597, 1484.994715512155, 1631262540.8268101, 2.601804541216956]"
16,"[417.87376990548296, 1481.6367613394805, 1631262588.8271372, 6.1662334131472045]"
17,"[435.14953431410606, 1439.6555425785048, 1631262638.8270583, 4.769644677639008]"
18,"[461.4904639574121, 1365.4391193326142, 1631262686.8272095, 4.74263234481667]"
19,"[477.6503703391094, 1322.6500998357853, 1631262735.8268993, 3.370039186694405]"
20,"[503.7913079628865, 1248.8214081681647, 1631262782.8285694, 3.9417548534846065]"
21,"[519.5502120806544, 1207.1044357574642, 1631262831.8270524, 0.549706878084125]"
22,"[546.2098425769948, 1131.827504872959, 1631262879.8272665, 0.3150396943092346]"
23,"[562.0791945587281, 1089.774704533447, 1631262928.8268805, 3.551252391603258]"
24,"[588.5899278079625, 1014.9166040122936, 1631262976.827752, 3.6084079137354186]"
25,"[604.3634900953564, 973.1515663464751, 1631263025.8269243, 2.545055290063222]"
26,"[630.8964012742117, 898.2154038392792, 1631263073.8272245, 3.572626140382555]"
27,"[646.7849013172532, 856.1186051531477, 1631263122.8269887, 0.0]"
28,"[673.469767840518, 780.7843497617572, 1631263170.8271925, 0.0]"
29,"[689.3543319371256, 738.6997236905474, 1631263219.8268356, 0.0]"
30,"[715.5674712654114, 664.6723132814502, 1631263266.827195, 0.0]"
31,"[731.2248839366099, 623.2483621224063, 1631263315.8269312, 0.0]"
32,"[777.343450982761, 514.8709771409299, 1631263389.8263588, 0.0]"
33,"[789.1723947938025, 526.1223874133102, 1631263397.8267922, 0.0]"
34,"[799.516254912116, 536.0929825622817, 1631263406.8263698, 0.0]"
35,"[809.7897873555904, 546.0056493945443, 1631263415.8263447, 0.0]"
36,"[816.5935280760309, 557.4643373660521, 1631263425.8263893, 0.0]"
37,"[819.9482300259734, 570.4469628280882, 1631263435.82645, 0.0]"
38,"[826.4692691445396, 580.7178349498733, 1631263444.826795, 0.0]"
39,"[826.66470180748, 591.8474488064812, 1631263452.82635, 0.0]"
40,"[829.0381168007951, 601.3221090995662, 1631263460.8262959, 0.0]"
41,"[832.6119269544033, 609.1014573853159, 1631263469.826599, 0.0]"
42,"[823.4651441852639, 610.6149394751197, 1631263477.8263557, 0.0]"
43,"[815.1501462072484, 613.0691943784524, 1631263485.8263867, 0.0]"
44,"[814.6011641692236, 622.3426973340473, 1631263493.8262992, 0.0]"
45,"[814.828431793005, 632.0631887765194, 1631263501.8263922, 0.0]"
46,"[817.5770089572092, 641.5868198279439, 1631263510.8265116, 0.0]"
47,"[822.9289151665939, 649.7803022715357, 1631263518.8265145, 0.0]"
48,"[823.1992502491474, 659.2800257489636, 1631263526.8263617, 0.0]"
