,depths
0,"[1286.3423645794367, 1100.2134659819585, 1631208974.5241113, 0.0]"
1,"[1243.8101646034954, 1116.670831131107, 1631209006.5234113, 0.0]"
2,"[1171.2242032820316, 1151.1252848432857, 1631209054.5238955, 4.738153733388342]"
3,"[1130.7042162942214, 1169.4601114249865, 1631209102.5234947, 3.5541362067063647]"
4,"[1059.0734654545922, 1203.6430726455876, 1631209150.523962, 3.817647023634477]"
5,"[1018.2697456675502, 1222.091053056048, 1631209198.5235257, 4.647422259504145]"
6,"[946.652459169915, 1256.2756201642512, 1631209246.5239072, 0.0]"
7,"[905.8273990713013, 1274.7423088820478, 1631209295.5235765, 2.6240055795871853]"
8,"[834.1797682334834, 1308.9404055161679, 1631209342.5238838, 2.9797336079857564]"
9,"[794.1442647339528, 1327.0268833464067, 1631209391.523596, 3.6405469636724455]"
10,"[721.9153289647533, 1361.4977726149516, 1631209439.5238926, 2.7506372230221525]"
11,"[681.0413043396759, 1379.9859752551715, 1631209487.5235617, 6.579254355996546]"
12,"[610.2874974735054, 1413.7557026449936, 1631209535.523921, 6.52671461484649]"
13,"[569.2147092914784, 1432.340604668088, 1631209584.5235927, 3.7382666134473053]"
14,"[497.49053271585126, 1466.5704706436672, 1631209632.523823, 4.708904164006012]"
15,"[456.4947300926867, 1485.114853696246, 1631209680.5235364, 2.697124773805792]"
16,"[418.06870638132204, 1482.367796519745, 1631209727.523869, 6.4682410341320615]"
17,"[434.9128728766115, 1440.301440800713, 1631209777.5235465, 2.7891895527189425]"
18,"[461.401212214166, 1365.6782889034814, 1631209825.523901, 4.6101953736459365]"
19,"[477.39232238840685, 1323.372237711904, 1631209875.5235522, 2.492273376144544]"
20,"[504.1029368691516, 1247.9443288791867, 1631209922.5238817, 3.6514799209556195]"
21,"[519.7197368546566, 1206.6197557691305, 1631209971.5235343, 4.727859379667224]"
22,"[546.0926016202784, 1132.1323842681406, 1631210018.5239275, 0.7478678973034175]"
23,"[561.8962476057424, 1090.2839429303287, 1631210067.5235345, 4.6835483083821305]"
24,"[588.4434664723794, 1015.3259149314478, 1631210115.5238853, 3.36488836672571]"
25,"[604.332385864977, 973.2294309314595, 1631210164.5235426, 3.363169561732899]"
26,"[630.9993849078879, 897.9367169895901, 1631210212.5238695, 2.916506032148997]"
27,"[646.7775258743211, 856.1364206682301, 1631210261.523561, 0.0]"
28,"[673.2788892865005, 781.3167656181606, 1631210309.5238807, 0.0]"
29,"[689.4739937417913, 738.9292621387957, 1631210358.5235105, 0.0]"
30,"[715.7171490847253, 664.2784989897368, 1631210406.5238657, 0.0]"
31,"[731.5300510048759, 622.3554663373201, 1631210455.5235155, 0.0]"
32,"[783.3225438986259, 514.8499269428661, 1631210640.5230458, 0.0]"
33,"[795.181419435657, 526.7046501866226, 1631210649.5230935, 0.0]"
34,"[806.1848034959149, 537.3140156596326, 1631210658.5230272, 0.0]"
35,"[816.4251164255998, 547.1974407927146, 1631210667.5230284, 0.0]"
36,"[823.1007532051046, 559.3105988407609, 1631210678.523121, 0.0]"
37,"[826.8447643616676, 573.2872787388312, 1631210689.5230837, 0.0]"
38,"[833.846665791715, 584.5715661673288, 1631210699.5230289, 0.0]"
39,"[834.0619369008008, 596.9545905028485, 1631210708.523022, 0.0]"
40,"[837.2654580077448, 607.9670645807724, 1631210718.5230763, 0.0]"
41,"[841.0802076618627, 616.6084305207822, 1631210728.5230727, 0.0]"
42,"[831.2034273425994, 617.7114187581675, 1631210736.5230312, 0.0]"
43,"[823.1065976102112, 620.2377625527696, 1631210744.5230064, 0.0]"
44,"[822.6728493650622, 629.5915421707983, 1631210752.5229843, 0.0]"
45,"[824.9491071978455, 638.5376269003303, 1631210760.5229375, 0.0]"
46,"[828.4832563677526, 646.4778544786018, 1631210769.5230246, 0.0]"
47,"[821.9533116301333, 653.8940137532461, 1631210777.5229537, 0.0]"
48,"[818.7970550603112, 661.2657432582652, 1631210786.5230305, 0.0]"
49,"[827.6829761147306, 662.5928443264298, 1631210794.5230174, 0.0]"
50,"[835.693953118006, 665.6262149934083, 1631210803.5230129, 0.0]"
51,"[836.3038086488805, 674.8154984090606, 1631210810.5229056, 0.0]"
52,"[838.52922092674, 683.0745662891417, 1631210818.5230002, 0.0]"
53,"[842.3399038593294, 690.435307171521, 1631210826.522681, 0.0]"
54,"[838.3455910078386, 698.9259171658655, 1631210835.5230498, 0.0]"
55,"[840.967287409345, 707.3388794526172, 1631210843.523034, 0.0]"
56,"[848.1602730146193, 710.711010298592, 1631210852.523058, 0.0]"
57,"[843.2570060372136, 718.0568332353414, 1631210860.5228615, 0.0]"
58,"[840.1454482533762, 725.3390377754765, 1631210869.522989, 0.0]"
59,"[848.3255237221553, 728.5693791069522, 1631210877.5230107, 0.0]"
60,"[853.302591175059, 736.6298040831928, 1631210886.5230436, 0.0]"
61,"[853.5156259814581, 746.7854591028255, 1631210894.522991, 0.0]"
62,"[851.2189752715508, 756.104274310112, 1631210903.522988, 0.0]"
63,"[844.5717805959778, 762.9584905990649, 1631210910.5229542, 0.0]"
64,"[840.167585082782, 770.2017044731602, 1631210918.5230193, 0.0]"
65,"[837.8447625120434, 778.1978554820384, 1631210926.5229723, 0.0]"
66,"[829.0534908785028, 781.2010457987235, 1631210935.522956, 0.0]"
67,"[821.8560546517414, 788.3275576262209, 1631210943.5229852, 0.0]"
68,"[813.569837562623, 793.1582172318127, 1631210952.5230498, 0.0]"
69,"[804.0560618633432, 793.0624610463736, 1631210959.5228796, 0.0]"
70,"[796.7960278471, 795.5422265366979, 1631210967.523018, 0.0]"
71,"[798.9895188292227, 802.7584560295894, 1631210975.5230927, 0.0]"
72,"[806.2329285864746, 806.0101535191205, 1631210984.5230193, 0.0]"
73,"[799.6970058880534, 814.419645505524, 1631211045.5237303, 0.0]"
74,"[750.021382070696, 857.8381744843686, 1631211055.5230372, 0.0]"
75,"[742.8569810237708, 865.1727520438894, 1631211061.5229619, 1.7597371044785086]"
76,"[740.3192224116785, 875.6511874718055, 1631211072.5230901, 2.0741921031113826]"
77,"[745.3924915418286, 888.03146555495, 1631211083.523062, 1.9178733512608692]"
78,"[743.215139825504, 898.7109510583772, 1631211097.5231297, 1.8271183582267376]"
79,"[752.8022573945426, 893.6544664202974, 1631211110.523095, 3.121185211220173]"
80,"[739.2532753339264, 891.7608554254804, 1631211128.5228467, 0.0]"
81,"[730.3740602846227, 909.977351376677, 1631211145.5231547, 3.7333281281018498]"
82,"[738.2848595579543, 929.6745314109374, 1631211165.5233023, 2.831465675975337]"
83,"[748.940688302339, 948.3731988325181, 1631211183.5232525, 3.749428416743423]"
84,"[741.1188935933732, 969.3970201583307, 1631211205.523382, 3.3486820712234033]"
85,"[723.5730362569761, 975.1283020992175, 1631211223.5232415, 2.879102309544881]"
86,"[720.2245520764201, 965.2998064385304, 1631211241.5232072, 4.767890164346406]"
87,"[728.7901377425355, 977.9105018491614, 1631211253.5230277, 3.341422129159022]"
88,"[729.1722397614632, 995.2805797232944, 1631211270.5231664, 1.9482861757278442]"
89,"[719.5999915566218, 1008.6469542849934, 1631211291.5232036, 0.0]"
90,"[705.3374655465973, 1004.6074621213631, 1631211302.5230498, 0.0]"
91,"[713.8490016296446, 1005.076203624035, 1631211311.522963, 0.0]"
92,"[721.5231084860695, 1012.470437275384, 1631211320.523044, 1.655297830249324]"
93,"[727.0484871721187, 1020.5023317574507, 1631211328.5230026, 0.0]"
94,"[727.437477740025, 1030.6921976721237, 1631211337.5228775, 0.0]"
95,"[730.6680674301213, 1039.2401389403622, 1631211346.522937, 0.0]"
96,"[741.0594395457207, 1039.6903975523624, 1631211355.5229912, 0.0]"
97,"[750.5695551165435, 1039.6799159847521, 1631211362.5229664, 0.0]"
98,"[757.347765658444, 1042.8853812227874, 1631211372.5230925, 0.0]"
99,"[751.3248814401626, 1051.1024147790367, 1631211381.523007, 2.0409920317958097]"
100,"[746.2543188822181, 1064.6126925771878, 1631211398.5232637, 2.4810381567839417]"
101,"[751.6883777260256, 1083.793639195715, 1631211459.5242007, 3.1149572392906806]"
102,"[751.9667368712765, 1103.45197202644, 1631211477.5232012, 2.789950814512041]"
103,"[734.1121146616356, 1120.9917616577345, 1631211491.5230932, 3.8713265139647204]"
104,"[733.0380295312814, 1134.5326252030704, 1631211510.5234802, 2.3553943236668906]"
105,"[749.9545976850393, 1143.4544600434174, 1631211529.523262, 3.2766469512322938]"
106,"[739.4600192665138, 1159.2797132189507, 1631211549.5232604, 3.047246701789625]"
107,"[718.370425534703, 1165.1264679842936, 1631211567.5231943, 3.1376292037241384]"
108,"[699.1494083047234, 1174.8176326438308, 1631211587.5232875, 3.140988088015354]"
109,"[678.6286121575649, 1180.8417416658324, 1631211605.5232348, 3.0364335721189324]"
110,"[659.7128294268855, 1190.4079864450784, 1631211625.523249, 4.8694786170516355]"
111,"[641.5205668459113, 1194.3395558894945, 1631211638.5231209, 3.4128447229211982]"
112,"[627.0986961007012, 1201.5048968867297, 1631211654.5231986, 3.3710577271201396]"
113,"[609.3817376001768, 1207.6069708587402, 1631211672.5233471, 5.309641199882584]"
114,"[607.5274090828117, 1225.6877998151313, 1631211695.5233977, 0.8950735330581665]"
115,"[613.2137948722408, 1244.4998889300925, 1631211716.523292, 0.0]"
116,"[600.5868533729181, 1257.043493229375, 1631211725.5230572, 1.2840199313982568]"
117,"[597.361353902114, 1265.0606251266067, 1631211735.5230262, 0.5837094326211949]"
118,"[608.6303399971184, 1266.3720700685392, 1631211746.5230935, 2.105566531419754]"
119,"[620.1215355833673, 1269.2899923558814, 1631211756.5229857, 2.706236405806108]"
120,"[620.9827279617094, 1281.707973878768, 1631211774.523198, 1.9805091800111712]"
121,"[612.3097798308685, 1298.2788227554242, 1631211790.5231164, 2.6386322650042446]"
122,"[613.1939022554858, 1318.6222636150226, 1631211808.523249, 2.578905778400826]"
123,"[606.5832764585376, 1332.7911838972136, 1631211824.5231977, 0.8364212735734805]"
124,"[560.6028283715564, 1338.815091514252, 1631211899.5231218, 3.1872628313122373]"
125,"[557.7033033649121, 1355.9312518091194, 1631211909.522993, 3.5230599888647443]"
126,"[557.4005142378238, 1367.9799382194349, 1631211926.52322, 4.8943937101749455]"
127,"[577.904273484803, 1367.5945300030985, 1631211938.5231166, 3.782120834697377]"
128,"[596.6245351222177, 1367.7662935342723, 1631211953.523167, 3.449258953633935]"
129,"[615.2984024214163, 1361.6026201733775, 1631211970.5230756, 2.8586520715193315]"
130,"[627.8441763950377, 1358.1622028255183, 1631211987.523246, 3.8307762242326833]"
131,"[633.9013007760573, 1369.0252399059411, 1631212003.523207, 3.4567682815320566]"
132,"[648.9127302448264, 1355.0957157495868, 1631212022.5232673, 2.7138751347859698]"
133,"[661.8109754841579, 1353.294296824856, 1631212042.5233223, 3.3311276700761585]"
134,"[669.4750873450048, 1363.670581793366, 1631212063.5233116, 5.253758795634665]"
135,"[683.1420435653799, 1350.2261940650715, 1631212075.5230954, 3.5886179606119795]"
136,"[695.247705169557, 1338.5147569960538, 1631212091.523204, 4.208890250234893]"
137,"[710.025046899973, 1334.647753725239, 1631212108.5232008, 4.6757462939830745]"
138,"[712.421394185216, 1342.9071629560299, 1631212128.523321, 3.233322699864705]"
139,"[709.4985365191804, 1326.7116380261864, 1631212148.5232754, 3.006962646137584]"
140,"[719.9494348603581, 1307.9092749977217, 1631212167.5233653, 3.222636256555114]"
141,"[711.7321430413364, 1293.4359535114074, 1631212185.5227582, 3.233584776671246]"
142,"[704.3702434787641, 1298.199330893275, 1631212206.5233092, 0.6572753190994263]"
143,"[723.9343920738988, 1291.8914068560102, 1631212224.5229516, 3.271986709098623]"
144,"[739.7463537628128, 1276.3859720798807, 1631212243.5232675, 0.6928249441011988]"
145,"[756.8439723364603, 1259.7734234248805, 1631212304.525022, 3.3619292239950163]"
146,"[798.0514072060532, 1232.405429514607, 1631212321.5231318, 1.9230858087539673]"
147,"[818.8700882046431, 1227.1169406392796, 1631212334.5230472, 3.9016179839769998]"
148,"[834.9194336248546, 1211.226470363995, 1631212350.5232222, 3.9464656698583354]"
149,"[845.1615949908798, 1193.0418448536618, 1631212365.5231652, 5.919469905622077]"
150,"[852.0676860734245, 1173.7431606257078, 1631212383.5232635, 5.772913185032931]"
151,"[859.8639021197635, 1159.650691545411, 1631212395.5230827, 5.404076178868612]"
152,"[849.3638293470783, 1148.4828340999213, 1631212408.5231373, 5.317902911793102]"
153,"[846.5349669507106, 1138.2161599573403, 1631212422.5231545, 4.250124839821247]"
154,"[862.7780968626179, 1137.9697311959335, 1631212436.52316, 6.121073433847139]"
155,"[877.2059583942137, 1134.3578285058518, 1631212448.5231116, 5.416650121862238]"
156,"[881.0022975965759, 1123.1960859757341, 1631212461.5230937, 4.675796754432447]"
157,"[869.4999751355447, 1111.2349218948423, 1631212476.52319, 4.994208981292417]"
158,"[867.9540453941581, 1100.1978678684136, 1631212494.5232248, 3.5480906168619795]"
159,"[889.4318446888885, 1100.4581822802697, 1631212513.5232673, 0.0]"
160,"[905.825251098398, 1103.2628895195412, 1631212523.523065, 0.0]"
161,"[914.3672203977552, 1111.6424796514589, 1631212533.5232062, 0.0]"
162,"[922.9907601708447, 1113.7352877019878, 1631212546.523073, 2.4138392113675975]"
163,"[920.1463028867771, 1105.3556895420293, 1631212558.5231159, 2.178093771741848]"
164,"[928.7330819816823, 1112.897137074941, 1631212579.5233421, 2.3114635480774774]"
