,depths
0,"[-704.1075395186282, -1125.659292626876, 1633969605.02799, 4.705686432544631]"
1,"[-746.538224733662, -1109.3355896331318, 1633969694.0275896, 3.509282719005238]"
2,"[-822.812822489148, -1070.0943995842445, 1633969726.0274622, 2.617598763017943]"
3,"[-859.2562895585072, -1056.5683555495555, 1633969772.0274296, 3.749469403064612]"
4,"[-931.4212392838581, -1022.2286966808457, 1633969820.0278156, 1.1825083759095933]"
5,"[-972.1303891585832, -1003.8924932825603, 1633969867.0274756, 4.659872873864993]"
6,"[-1043.1905099655605, -969.9372549793925, 1633969915.0277941, 3.6847868218566435]"
7,"[-1084.0310173266946, -951.5179066372649, 1633969963.027452, 2.602954427401225]"
8,"[-1155.3978781730675, -917.4164853692043, 1633970011.0278423, 0.4643659302682588]"
9,"[-1196.5875103612523, -898.8373850541509, 1633970059.0274947, 4.845791786909103]"
10,"[-1270.203713784616, -865.2006203254533, 1633970107.027793, 4.6558685952966865]"
11,"[-1311.1758824644828, -846.7224476321192, 1633970155.027532, 2.707025094465776]"
12,"[-1382.58347271869, -812.6024474463069, 1633970203.0278072, 4.520966562959883]"
13,"[-1423.2791501268623, -794.2557647905156, 1633970252.0274715, 4.7908927316617484]"
14,"[-1494.400510681415, -760.2574932349992, 1633970299.0277529, 2.422653276510913]"
15,"[-1535.4939303312967, -741.7282003427227, 1633970348.0274456, 0.5004489349596428]"
16,"[-1574.8673544696762, -744.9161275097724, 1633970396.0277798, 0.6043464047740205]"
17,"[-1557.7717961701844, -786.2183885404751, 1633970445.0301769, 0.4367506013374136]"
18,"[-1531.4755377283764, -860.4183995317906, 1633970493.0278003, 3.5508392615751783]"
19,"[-1515.477482253686, -902.589030341612, 1633970542.0274968, 4.749810465056487]"
20,"[-1489.1565722680823, -977.0193257041981, 1633970590.0278137, 3.7377751704418296]"
21,"[-1472.9752749988033, -1019.7721252742888, 1633970639.0274687, 3.3470848961309954]"
22,"[-1446.7124898395457, -1094.0759527001628, 1633970686.027828, 2.636196270735577]"
23,"[-1430.7795965560576, -1136.1425206332, 1633970735.0274599, 2.6510194509920444]"
24,"[-1404.3519808562903, -1210.8654251298344, 1633970783.0278018, 0.6197327658383533]"
25,"[-1388.2613560024774, -1253.377293003552, 1633970832.0274734, 0.0]"
26,"[-1361.5714515321156, -1328.8377182934048, 1633970880.027765, 4.830384661452939]"
27,"[-1345.8166076142552, -1370.554985481127, 1633970928.0274746, 3.9144550194643966]"
28,"[-1319.687992202768, -1444.3058166877854, 1633970976.0278177, 0.0]"
29,"[-1303.8015566004963, -1486.3752297140747, 1633971025.0274267, 0.0]"
30,"[-1277.0264252707457, -1561.9376547014228, 1633971073.0277681, 6.7324947895425735]"
31,"[-1261.195073593913, -1603.8736003061247, 1633971122.0274968, 0.0]"
32,"[-1214.6737831673688, -1721.3111963610768, 1633971228.0271099, 0.0]"
33,"[-1199.2536374272534, -1727.1843028639382, 1633971240.027053, 0.0]"
34,"[-1187.1228255028343, -1714.805858792242, 1633971250.0269444, 0.0]"
35,"[-1176.7829682990991, -1704.7807453183577, 1633971259.0269613, 0.0]"
36,"[-1166.5604040770065, -1694.8480826580987, 1633971270.0270047, 0.0]"
37,"[-1159.425111272325, -1682.7129727879435, 1633971281.0270145, 0.0]"
38,"[-1159.5321178510999, -1667.6236021815266, 1633971293.0270286, 0.0]"
39,"[-1159.5554426585984, -1652.8581963050274, 1633971304.0269845, 0.0]"
40,"[-1159.5836298805834, -1638.377183335932, 1633971316.0270548, 0.0]"
41,"[-1159.6116368484245, -1624.1000012490001, 1633971327.0269094, 0.0]"
42,"[-1159.6401251761515, -1609.9500448367735, 1633971339.027004, 0.0]"
43,"[-1159.6684434705412, -1595.9350471341493, 1633971350.0269876, 0.0]"
44,"[-1159.696736979018, -1581.950834271026, 1633971362.02699, 0.0]"
45,"[-1159.7253601986858, -1568.036098820423, 1633971373.0269842, 0.0]"
46,"[-1159.7544136651225, -1554.139472285449, 1633971385.0270705, 0.0]"
47,"[-1159.78220638387, -1540.894838013214, 1633971395.0269608, 0.0]"
48,"[-1159.8052832360847, -1530.0278982621694, 1633971403.02695, 0.0]"
49,"[-1159.8247375789347, -1521.0081331791303, 1633971410.0268738, 0.0]"
50,"[-1157.814980196517, -1512.765329016218, 1633971418.026912, 0.0]"
51,"[-1151.5003267317263, -1506.425426163611, 1633971425.0268955, 0.0]"
52,"[-1145.0594991123164, -1500.104078988333, 1633971433.0268993, 0.0]"
53,"[-1138.2208716149273, -1493.3844604679916, 1633971441.0269532, 0.6283180936418399]"
