,depths
0,"[-705.7924314868968, -1128.255611229673, 1636116629.0423036, 0.0]"
1,"[-750.1803265761, -1106.0914229856178, 1636116676.0421646, 0.0]"
2,"[-819.3448453532378, -1075.1880382835193, 1636116730.0421975, 0.0]"
3,"[-862.3064547505727, -1055.3431719010068, 1636116763.0421176, 0.0]"
4,"[-928.0026968772237, -1023.2924244715006, 1636116819.0422466, 0.0]"
5,"[-975.4792793852471, -1002.4568574739258, 1636116855.0420592, 0.0]"
6,"[-1044.1530688243624, -970.0699971642437, 1636116907.0421875, 6.241989357302887]"
7,"[-1100.6686593958423, -957.1931205254922, 1636117393.042815, 5.965572850270705]"
8,"[-1166.3355607167555, -919.6620595963593, 1636117520.0423849, 6.013374763907808]"
9,"[-1270.9670567262303, -864.8413154028658, 1636117606.0422084, 6.663341156159988]"
10,"[-1311.0648242072457, -845.4811955925259, 1636117643.0420837, 2.913738630034707]"
11,"[-1383.6996192929544, -811.8274324693789, 1636117694.0421495, 5.949850415942645]"
12,"[-1493.010107154665, -760.5888739241781, 1636117784.0420568, 4.503283652392301]"
13,"[-1535.47688020961, -740.566714007668, 1636117822.042207, 2.8721518408168447]"
14,"[-1575.2091685499893, -740.6904416144579, 1636117883.042265, 4.516802473501725]"
15,"[-1561.228980618194, -789.2540002213967, 1636118019.0424604, 4.772599922888207]"
16,"[-1531.8171991618374, -862.4433513567836, 1636118070.042339, 6.679326136906942]"
17,"[-1488.0685329252879, -979.7298493394798, 1636118180.0423176, 6.291646464906559]"
18,"[-1450.6847862419543, -1088.792679997737, 1636118287.0423799, 0.0]"
19,"[-1416.363602641054, -1213.459811323674, 1636118487.0423286, 0.0]"
20,"[-1362.0544973943395, -1329.2268614899424, 1636118593.0422962, 0.0]"
21,"[-1319.4771247400356, -1445.8111188367948, 1636118707.042163, 0.0]"
22,"[-1276.6003514242182, -1562.1649320289932, 1636118816.0422976, 0.0]"
23,"[-1259.7444329591297, -1607.9503374990863, 1636118946.042198, 0.0]"
24,"[-1255.1702874085668, -1658.0674755224254, 1636118975.0420544, 0.0]"
25,"[-1341.0112505988996, -1744.416504912923, 1636119068.0420961, 0.0]"
26,"[-1372.1652658798857, -1776.360610809226, 1636119102.0420845, 0.0]"
27,"[-1400.2978547450991, -1807.5441791284484, 1636119137.042067, 0.0]"
28,"[-1428.6422417543286, -1837.8625966192683, 1636119171.0419614, 0.0]"
29,"[-1456.8573109483693, -1868.1655400916734, 1636119206.0420763, 0.0]"
30,"[-1484.6017290748573, -1898.074990372399, 1636119239.0420618, 0.0]"
31,"[-1552.6409612219165, -1914.956897134357, 1636120136.0432823, 0.0]"
32,"[-1990.3095480767174, -1707.3575831681312, 1636120551.0422978, 0.0]"
33,"[-2054.88496373479, -1656.7844597892145, 1636120692.0426652, 0.0]"
34,"[-2380.491017517765, -1317.9776452377916, 1636121167.0422313, 0.0]"
35,"[-2124.8372048401484, -975.9663293222416, 1636121620.0418997, 2.1509807299483907]"
36,"[-2026.808766699226, -886.0493739297824, 1636121729.0420382, 4.3743235270182295]"
37,"[-1999.9201105569534, -857.8233572520617, 1636121762.0421112, 4.062191327412923]"
38,"[-1969.0130986258073, -825.4926476264009, 1636121800.0420551, 5.7719739567149775]"
39,"[-1839.2383207938008, -614.1760993516184, 1636122084.042304, 3.217541532082991]"
40,"[-1792.9516452771256, -579.9700669434299, 1636122135.042081, 3.9625585681260236]"
41,"[-1758.2863845708748, -542.6488467209441, 1636122175.042228, 3.37193806725319]"
42,"[-1748.2762832525102, -495.9334314714446, 1636122217.0420187, 3.3207926557521628]"
43,"[-1749.7268457323373, -445.7057109730788, 1636122259.0423825, 2.514827768007914]"
44,"[-1751.1643073834682, -393.4715593401576, 1636122303.0419369, 3.3007365109944584]"
45,"[-1752.5741584577463, -341.90424210968166, 1636122346.0420728, 2.578205948526209]"
46,"[-1754.0521692012505, -290.37989064955104, 1636122388.042156, 3.8686045215587423]"
47,"[-1755.4063876210098, -239.49930754086236, 1636122432.0420249, 4.098742214116183]"
48,"[-1765.6548334218764, -197.40889082072036, 1636122564.0422657, 4.358691326295487]"
49,"[-1763.0272179853735, -148.7460513427298, 1636122597.0419612, 4.401853691447865]"
50,"[-1763.0072736266097, -102.89373340352631, 1636122633.0421076, 5.929273435563752]"
51,"[-2011.1565839366735, 161.65555874279005, 1636123020.0423427, 4.108583569827706]"
52,"[-2093.37551001832, 156.1502343952987, 1636123099.0419686, 4.426798399048622]"
53,"[-2134.7036611761996, 156.68760704617557, 1636123132.0420067, 3.370542232436363]"
54,"[-2178.5095501715987, 157.23069804682626, 1636123169.042109, 4.14505057864719]"
55,"[-2220.801534397969, 157.74277736096423, 1636123204.0421383, 4.388194532105417]"
56,"[-2262.3161902537836, 158.2861330871675, 1636123238.042057, 4.478811230322327]"
57,"[-2302.481400201575, 158.74625200415483, 1636123271.0420754, 4.264678511956726]"
58,"[-2344.4477839203123, 159.26952453869333, 1636123307.0420916, 4.276871063492514]"
59,"[-2387.0086271656164, 159.78569703508109, 1636123342.0420444, 4.4575172241288]"
60,"[-2429.632863743666, 160.33016376030176, 1636123378.0420165, 4.803487380345662]"
61,"[-2449.2328477035535, 152.49430987718236, 1636123478.0422637, 4.252395110599922]"
62,"[-2576.390494149141, 168.10376261578318, 1636123588.0420723, 4.691215729472614]"
63,"[-2616.793105291235, 168.62254423244224, 1636123621.0420885, 4.853132074529475]"
64,"[-2768.360415442876, 170.4457653176177, 1636123747.042056, 4.632174549680768]"
65,"[-2808.6093518194084, 170.9624993280275, 1636123781.0420666, 4.28937848409017]"
66,"[-2849.391531218269, 171.44867631076656, 1636123815.0420613, 3.968472968448292]"
67,"[-2893.1984317421948, 172.0158492238671, 1636123853.0420938, 3.916363167040276]"
68,"[-2918.7503925528104, 162.7000043009545, 1636123946.0418942, 3.844585925641686]"
69,"[-2999.7583957812803, 172.09876016612972, 1636124031.0420856, 3.8677683285992557]"
70,"[-3044.4649629349265, 172.20920993812584, 1636124067.04208, 4.208938921340788]"
71,"[-3080.0748252210274, 150.88576203580664, 1636124104.0420659, 3.928039328016416]"
72,"[-3110.9879635691527, 119.6587270361377, 1636124141.0420513, 4.492717136036266]"
73,"[-3141.4008911967117, 88.93055306955868, 1636124177.0420878, 4.064074203221485]"
74,"[-3151.4024616080683, 48.941364572412944, 1636124214.0420153, 4.460398093618528]"
75,"[-3151.1087982514405, 6.9319170605744045, 1636124249.0420582, 3.4437117684971206]"
76,"[-3172.951356462652, -29.53765247517033, 1636124288.0420663, 3.586998173684785]"
