,depths
0,"[-707.3807642451068, -1125.483023228117, 1635339613.0109463, 2.5721100370089216]"
1,"[-747.277943313839, -1109.0758037065239, 1635339645.010331, 4.532088650898499]"
2,"[-820.2361818206674, -1074.8291126218228, 1635339693.0108068, 3.602465100360639]"
3,"[-861.5283489295559, -1055.7526003707228, 1635339742.0103624, 3.667929190577883]"
4,"[-935.4623291571133, -1020.9022855705595, 1635339868.0109675, 3.7906421793229654]"
5,"[-973.38355406152, -1003.4396175239627, 1635339915.010506, 2.537785589694977]"
6,"[-1045.1662635829832, -969.5618659100527, 1635339963.0107257, 2.710719835878623]"
7,"[-1085.9900716393715, -950.6952373961076, 1635340011.0103939, 2.6072334614064956]"
8,"[-1156.7153800982005, -917.3500713993736, 1635340059.010823, 3.7533468348209307]"
9,"[-1197.9635083046621, -898.3019913857612, 1635340108.0105054, 4.641397219715697]"
10,"[-1269.1387001890525, -864.7286952419109, 1635340155.0107975, 0.6058692023007557]"
11,"[-1309.6569522859875, -846.0363257940608, 1635340204.0104952, 2.8566090904100974]"
12,"[-1384.4286300224182, -810.7615385893918, 1635340330.0109239, 4.517338969490745]"
13,"[-1421.855891094544, -793.531446567868, 1635340377.0104647, 3.7375169875043808]"
14,"[-1494.2306616027759, -759.3731146221112, 1635340425.0107348, 3.7141779071152814]"
15,"[-1534.9466843542446, -740.5589119765526, 1635340473.010388, 3.622413983248701]"
16,"[-1571.2753118166984, -744.0729427156492, 1635340521.0107388, 3.706311583518982]"
17,"[-1556.5309442167309, -786.251329075496, 1635340571.0104904, 6.863204015023781]"
18,"[-1529.9995602089214, -860.5592558071572, 1635340619.0107765, 3.828724456555916]"
19,"[-1514.488841550805, -902.7376360123848, 1635340667.0104504, 4.758467156477649]"
20,"[-1486.5892587697354, -980.3168402253202, 1635340794.0109413, 4.550175992527393]"
21,"[-1472.0749790911348, -1019.6308700445264, 1635340841.010298, 6.710557227784937]"
22,"[-1445.3876433713804, -1093.9344404876695, 1635340888.0107346, 4.769215805964037]"
23,"[-1429.828234813984, -1136.1805409959773, 1635340937.0103633, 3.716716114619766]"
24,"[-1403.0759625980497, -1210.6174169033097, 1635340985.0106626, 3.608860566760554]"
25,"[-1387.4961496186281, -1252.8927375605429, 1635341034.0103958, 6.582719263103273]"
26,"[-1360.2012495956676, -1328.851773365231, 1635341082.0106905, 4.7366763395492475]"
27,"[-1344.9553873165264, -1370.271520427198, 1635341130.0103354, 6.384072522322336]"
28,"[-1317.4462407025385, -1446.7552208935244, 1635341256.0109854, 4.592544979820348]"
29,"[-1303.0792814938798, -1485.648087280551, 1635341303.0104525, 2.6951125751842153]"
30,"[-1276.05527528664, -1560.87420866014, 1635341351.010814, 4.581318754740436]"
31,"[-1260.5573573667064, -1602.9995154417875, 1635341400.0103664, 4.622326558286494]"
32,"[-1252.7822284337342, -1659.3506648478024, 1635341426.0103314, 2.3352796832720437]"
33,"[-1276.355382932987, -1670.4087571444952, 1635341445.010149, 4.393548553640192]"
34,"[-1303.293014793372, -1670.306369648795, 1635341466.0101902, 2.5546723471747503]"
35,"[-1329.5798827016433, -1670.7297213937482, 1635341486.0101657, 4.372195219752765]"
36,"[-1351.4393352717818, -1679.952371730964, 1635341508.0103204, 3.27325334332206]"
37,"[-1371.193542755041, -1691.13620400356, 1635341527.0101564, 4.485355507243764]"
38,"[-1391.8473536267097, -1699.7143297884334, 1635341549.0102599, 3.5385112569789694]"
39,"[-1411.4251358369004, -1710.6152445510381, 1635341568.0102704, 3.8928681407311947]"
40,"[-1434.8686302602596, -1710.5829551131733, 1635341588.0103025, 2.819169850060434]"
41,"[-1448.207053562122, -1723.2566557269108, 1635341681.0103464, 0.6337325374285381]"
42,"[-1436.4193167649414, -1719.6440564085547, 1635341694.009733, 2.3914540699034026]"
43,"[-1436.955927894715, -1702.1519520092897, 1635341703.009985, 0.6491693980766066]"
44,"[-1432.0820445668683, -1688.3259051456587, 1635341713.0100086, 2.3924627135498353]"
45,"[-1420.8634379316945, -1678.7104004438074, 1635341722.0098202, 2.543248774427356]"
46,"[-1408.6043443715334, -1667.232344302275, 1635341736.0100737, 2.5119131960050023]"
47,"[-1394.533322991855, -1654.0601113677756, 1635341750.0100522, 2.687469325884424]"
48,"[-1380.132810405538, -1640.5632915670126, 1635341766.0101423, 2.8119697329973934]"
49,"[-1365.7507388214003, -1627.0589553918903, 1635341781.0099142, 3.49811833795875]"
50,"[-1357.712858775891, -1608.3000480279004, 1635341802.010207, 3.2642624016964072]"
51,"[-1357.397306300008, -1585.0665938098582, 1635341819.0101583, 1.4886081700373177]"
52,"[-1356.7795824086506, -1566.2171254773898, 1635341833.010063, 2.5100164678361683]"
53,"[-1356.231927030585, -1549.298199613425, 1635341847.010025, 1.8038790623346965]"
54,"[-1355.6427736317812, -1531.2012059883816, 1635341863.0101314, 2.2790102579376916]"
55,"[-1355.0614401445048, -1513.1556523059662, 1635341877.0100563, 2.5467855569088096]"
56,"[-1354.438600692064, -1493.950785681316, 1635341895.0101614, 2.6201842210509563]"
57,"[-1353.8036042185247, -1474.1171195361696, 1635341910.0100803, 3.4598352656219946]"
58,"[-1353.1277183949999, -1453.1561396836564, 1635341930.010164, 3.117178526791659]"
59,"[-1352.4022386586028, -1430.364309021632, 1635341948.0101771, 2.415242010294789]"
60,"[-1351.7080871829019, -1408.74768406143, 1635341966.010143, 3.4923705163628163]"
61,"[-1351.079778534974, -1388.9538527381976, 1635341981.0100622, 2.346845864045499]"
