,depths
62,"[-1350.4662968503362, -1369.7733493340697, 1635341998.0101566, 3.490578805557405]"
63,"[-1349.8591535349833, -1350.5703862505436, 1635342013.0101001, 2.999440725403603]"
64,"[-1349.2290297013885, -1330.7967318603119, 1635342031.0101771, 2.9297403223586804]"
65,"[-1348.5504482940441, -1309.2380339320055, 1635342049.0101268, 3.101380608298562]"
66,"[-1346.9282313464882, -1281.742936591094, 1635342158.0106423, 1.9887681404749553]"
67,"[-1352.927906557724, -1257.7964942232718, 1635342172.010051, 3.115879860791293]"
68,"[-1368.87156076154, -1241.9383805566915, 1635342187.010085, 3.7292679945627847]"
69,"[-1377.2613485916843, -1224.8783164386439, 1635342201.0099978, 2.756503018465909]"
70,"[-1376.1203750518202, -1205.4425530800952, 1635342216.0101137, 2.521656263958324]"
71,"[-1381.7410051381514, -1188.0879588492128, 1635342232.010114, 2.9639038461627383]"
72,"[-1396.8174547231206, -1173.0138094193032, 1635342250.0101228, 2.167000878940929]"
73,"[-1411.6917298408634, -1157.3535546191158, 1635342267.0101123, 3.020723516290838]"
74,"[-1427.085651650652, -1140.4492447203522, 1635342293.0103052, 4.587766054904822]"
75,"[-1442.801780023053, -1133.931935416814, 1635342311.0100527, 6.326014725848882]"
76,"[-1460.0501870635617, -1143.285004651518, 1635342326.0100715, 3.939465313246756]"
77,"[-1477.9811611847526, -1136.5489724777478, 1635342341.0100992, 3.518565307963978]"
78,"[-1491.1483836781908, -1121.749762016836, 1635342356.0101273, 3.175983013528766]"
79,"[-1505.1675670996171, -1106.8729170632332, 1635342373.010131, 4.394700828224721]"
80,"[-1521.367873540577, -1089.6353833571618, 1635342394.0102277, 3.5756640723257354]"
81,"[-1537.7317728926396, -1072.2047000348632, 1635342412.0101693, 3.109687542674517]"
82,"[-1545.7948907040845, -1053.9162262384036, 1635342430.0101855, 2.7182287567793724]"
83,"[-1544.5226271135266, -1032.258287960006, 1635342448.010188, 3.1090283008536908]"
84,"[-1536.63277881978, -1012.760496382281, 1635342468.0101686, 3.326392351978957]"
85,"[-1520.7992235219283, -998.1229547036968, 1635342484.01011, 2.5708660597753044]"
86,"[-1506.4652290940783, -984.4218835175182, 1635342501.0101295, 2.9048806392785274]"
87,"[-1499.0337733764145, -963.8831944726247, 1635342594.010208, 2.6635753030728813]"
88,"[-1503.2531016636087, -948.6376259090682, 1635342612.0101547, 4.910025463561819]"
89,"[-1492.823425626047, -935.765946043272, 1635342623.0099843, 3.6075302615310205]"
90,"[-1496.9942218943274, -924.3067293992249, 1635342638.0101101, 3.8742668508279205]"
91,"[-1480.6954808461826, -911.5991439901455, 1635342653.010096, 4.757691995062009]"
92,"[-1477.1444814114523, -896.0910482938325, 1635342672.0101826, 3.6516880194346113]"
93,"[-1481.9240858537562, -881.1628848896103, 1635342690.0101688, 3.268763845617121]"
94,"[-1465.4938603268424, -867.4452769912452, 1635342707.0101428, 4.015201501171998]"
95,"[-1450.9055841481272, -853.3589082321951, 1635342723.0101223, 3.6683968293546423]"
96,"[-1435.5775695334444, -838.5592627092688, 1635342742.010182, 3.619022923286515]"
97,"[-1419.4858168107346, -822.9916192746475, 1635342760.010166, 4.530506119583592]"
98,"[-1402.5847924858417, -806.6207601084005, 1635342781.010173, 2.7747224966684976]"
99,"[-1384.8895531117942, -789.4439279229146, 1635342801.0099938, 2.8999100357595116]"
100,"[-1368.5348741567345, -773.549340135122, 1635342819.010103, 3.42167246823359]"
101,"[-1353.9150339161938, -759.3104504661762, 1635342835.0101128, 3.7571111556255454]"
102,"[-1338.002665904771, -743.7935053640931, 1635342856.010119, 4.160466785382743]"
103,"[-1322.1293771780215, -728.285481410974, 1635342872.010092, 4.76100480556488]"
104,"[-1313.9196587026088, -710.2361077787064, 1635342892.010198, 6.216186380145525]"
105,"[-1310.0069210723211, -692.811521991328, 1635342904.0100317, 4.984926161139903]"
106,"[-1299.030916731065, -682.6669840007297, 1635342917.0101652, 4.766150462506998]"
107,"[-1287.046426484186, -670.8842889732617, 1635342932.0101056, 3.9802542599764736]"
108,"[-1273.3501656174496, -657.4235308807434, 1635342949.0101025, 4.351934852022113]"
109,"[-1124.9341512461315, -511.38507465801524, 1635343561.018447, 3.2225787133881543]"
110,"[-943.0585915383685, -314.85816988491456, 1635343673.010917, 3.5705735346283576]"
111,"[-944.4648898379885, -283.2862807838466, 1635343686.0100274, 2.911855789146038]"
112,"[-944.1942216908262, -262.44904216418263, 1635343700.010014, 5.073549554805563]"
113,"[-938.8501118378261, -249.001688430685, 1635343712.010008, 4.422909645119098]"
114,"[-928.4826021229844, -243.3629474692338, 1635343728.0101018, 4.185513944336862]"
115,"[-929.8522008931177, -223.30770607568235, 1635343744.0100787, 3.4549790729175918]"
116,"[-929.5772856916063, -202.5264142026309, 1635343761.0101323, 5.755972277034413]"
117,"[-924.2871322227638, -189.23319184361415, 1635343774.0099986, 4.486458193172108]"
118,"[-914.3045370137621, -183.95309587526285, 1635343790.0100842, 3.0433945414995907]"
119,"[-915.5789286900505, -159.62512674694935, 1635343812.010129, 4.467579340693927]"
120,"[-915.2803615779043, -134.91518147973414, 1635343834.0102155, 2.607983350753784]"
121,"[-914.9765816588144, -109.0682409649393, 1635343855.0102139, 1.0149235797650886]"
122,"[-920.8393234161211, -93.76903818733862, 1635343870.0100646, 2.088945767494163]"
123,"[-935.2507158315217, -99.14393159988862, 1635343883.0099816, 3.8085998874722105]"
124,"[-949.8587608199449, -114.12711313987873, 1635343905.0101945, 2.1831210315829574]"
125,"[-967.4304079894839, -131.34495465150445, 1635343924.0101962, 2.5689682707642065]"
126,"[-983.2467064999065, -146.88979196888297, 1635343942.0101366, 2.6659843361738957]"
127,"[-997.788127711979, -161.19864496310385, 1635343958.0100646, 0.682818591594696]"
128,"[-1010.1927772704623, -173.42846631060732, 1635343971.0099735, 1.9562676311141312]"
129,"[-1016.8916048086043, -185.4786875150864, 1635343983.0099664, 0.6803484559059143]"
130,"[-1016.1544405019092, -199.75988722956384, 1635343995.010009, 2.9242591586979954]"
131,"[-1015.9283284136329, -213.5517578237326, 1635344006.0100965, 1.5648590723673503]"
132,"[-1015.6609475616515, -229.13956157024396, 1635344021.01004, 2.1566042015046785]"
133,"[-1006.5992975185031, -242.8504954476837, 1635344114.0088856, 1.6928649490529841]"
134,"[-997.1418133452805, -257.13048680001356, 1635344129.0100086, 2.6020432846112684]"
135,"[-998.4387016158772, -277.34164405472603, 1635344140.0100036, 2.945572485225369]"
136,"[-998.0960033071093, -298.17307254012474, 1635344155.0101182, 2.7275441225731014]"
137,"[-997.7490050161432, -320.14148412761995, 1635344170.010028, 3.0590906974041103]"
138,"[-997.3992238809177, -341.9776988870174, 1635344187.0101366, 2.8296082772389806]"
139,"[-997.0533128774179, -364.0872425820501, 1635344204.0100818, 3.7495539369005146]"
140,"[-994.376425298876, -372.32726833317855, 1635344227.0102398, 3.1919567223751186]"
141,"[-999.0690245472969, -361.3872661868252, 1635344247.0101795, 5.973160965876146]"
142,"[-996.4557517867746, -384.16559154505495, 1635344269.010182, 2.602060752685624]"
143,"[-1003.9370162000641, -406.65575438522274, 1635344290.0101638, 4.446396896333406]"
144,"[-1018.3829349033435, -406.42935741530584, 1635344316.009535, 0.7765940427780151]"
145,"[-1023.593202681191, -395.2863307535849, 1635344338.0102026, 4.413138909773393]"
146,"[-1033.1873031016696, -398.39394599268456, 1635344362.0102613, 2.3597797552744546]"
147,"[-1037.0660245584675, -387.15807667608897, 1635344384.0106163, 3.495870457755195]"
148,"[-1052.849578979097, -405.91915610022534, 1635344405.0101726, 3.7697636503161807]"
149,"[-1065.0580905738418, -411.15889903385306, 1635344423.010138, 2.9802159408126214]"
150,"[-1067.662959323264, -402.1955500167924, 1635344442.0101302, 2.5604599316914873]"
151,"[-1081.0267519836134, -418.66900946159654, 1635344461.0101411, 3.920820399968311]"
152,"[-1098.1701382354559, -420.4273830889334, 1635344485.010093, 2.375227860730104]"
153,"[-1104.2661674290187, -418.7779437728983, 1635344578.0088332, 5.847844731928122]"
154,"[-1087.273269338994, -421.0268194397988, 1635344587.009896, 0.941398454434944]"
155,"[-1091.3709172475083, -414.7888563274614, 1635344597.009942, 1.6303047194625393]"
156,"[-1101.408270966611, -427.8347553110699, 1635344609.010031, 2.466445535722405]"
157,"[-1115.863563295895, -441.9865303744752, 1635344623.0090976, 3.054478288599939]"
158,"[-1127.1655992542726, -453.3423669163334, 1635344630.0098848, 4.937711518220227]"
159,"[-1134.672780275249, -455.129461187775, 1635344643.0100393, 3.6747351993214004]"
160,"[-1138.0398481629425, -440.76280564309155, 1635344660.0100808, 4.854490356011825]"
161,"[-1147.1285317901506, -424.77063140633584, 1635344675.0090933, 6.316030092913694]"
162,"[-1146.1577343358929, -404.9444453869645, 1635344692.0101042, 4.10666213613568]"
163,"[-1145.6169908559164, -379.756687237409, 1635344712.0100815, 2.0605695247650146]"
164,"[-1149.188968307867, -368.2318265754131, 1635344726.010001, 3.7182390087782737]"
165,"[-1158.418253520741, -372.42059098516177, 1635344742.0101643, 3.060614036791252]"
166,"[-1170.598228954098, -368.7018847681277, 1635344762.01021, 3.1769874938810716]"
167,"[-1185.1560540341036, -385.5073514386685, 1635344780.0101523, 2.6016614870591597]"
168,"[-1200.396134803893, -400.85077266372423, 1635344798.0101461, 2.0640122914555095]"
169,"[-1218.5939687540458, -419.2137544526449, 1635344819.0101469, 3.267366751275881]"
170,"[-1234.6060542277874, -435.41072683763286, 1635344840.0098834, 2.8203097599925417]"
171,"[-1251.0433580434249, -452.0568208490187, 1635344858.0101821, 3.172791696558095]"
172,"[-1270.832470243451, -472.15272625798667, 1635344883.010181, 2.288412171180802]"
173,"[-1287.6665253825342, -489.26816624674797, 1635344902.0100741, 3.2365121287528913]"
174,"[-1304.4680996612433, -506.3930331933917, 1635344923.0098572, 5.409513523181279]"
175,"[-1317.3200421442048, -514.5128986204164, 1635344936.0100732, 4.671632174289588]"
176,"[-1315.2507479647359, -498.9123145270217, 1635344953.010147, 4.328537762767137]"
177,"[-1322.3102605707918, -477.32720520068005, 1635345052.0107765, 3.4463071100639575]"
178,"[-1341.9125909391714, -483.13279442361886, 1635345069.0101552, 4.077998766393373]"
179,"[-1355.9000213386416, -502.3153177922968, 1635345083.0100908, 4.516445507906904]"
180,"[-1371.6878940406377, -506.33215430347775, 1635345101.0101779, 2.9617713292439776]"
181,"[-1391.1675347469686, -499.73736282300433, 1635345123.010141, 3.7069258208226676]"
182,"[-1414.1259056508281, -523.8283899933743, 1635345150.0102172, 3.484414982073235]"
183,"[-1430.5286485708166, -540.709389149007, 1635345168.0101614, 4.49073626055862]"
184,"[-1452.558922618567, -540.8412766166838, 1635345194.010174, 3.0325538425734546]"
185,"[-1471.0568712270237, -536.5561946023439, 1635345216.0101597, 3.573486408801994]"
186,"[-1489.5108748426314, -556.267881607592, 1635345239.0101955, 3.245428945078994]"
187,"[-1514.1787082496128, -581.8313307506878, 1635345267.0101564, 2.53678838411967]"
188,"[-1525.1997981242898, -593.2820014703883, 1635345274.009926, 0.7157598204082913]"
189,"[-1600.0122296226364, -671.4293485598578, 1635345370.0246277, 0.6429506729949604]"
190,"[-1608.064772205501, -727.5527222681318, 1635345498.0852628, 1.2572577397028604]"
191,"[-1608.5033309874882, -772.304889899192, 1635345523.1265273, 0.7530017332597212]"
192,"[-2178.82162714041, -1180.9482094153825, 1635346426.6310058, 0.7346906604790928]"
193,"[-2190.0979396575576, -1181.1425856435903, 1635346433.7197456, 0.9574498136838278]"
194,"[-2200.953736108275, -1181.330142073342, 1635346440.7197192, 0.9621214023744218]"
195,"[-2650.720670205098, -1183.2361344936755, 1635346888.265598, 0.6178778409957886]"
