,depths
0,"[1285.016161015482, 1099.395216443387, 1631195534.105466, 0.0]"
1,"[1274.9509030272006, 1093.489658217762, 1631195576.1055706, 4.804825530509756]"
2,"[1243.7982257805515, 1115.6804752614726, 1631195606.1044147, 0.0]"
3,"[1171.3756991807306, 1150.8463990439302, 1631195655.1056664, 4.849688609441122]"
4,"[1129.9690786276278, 1169.7957767586972, 1631195704.1052577, 3.779906551946293]"
5,"[1059.1438557103788, 1203.6153935168318, 1631195751.1055622, 3.6822247589477386]"
6,"[1018.4771683322151, 1222.0000623511655, 1631195800.1052372, 4.647347837686539]"
7,"[946.7187289235835, 1256.246552057389, 1631195848.1056085, 0.0]"
8,"[905.3399083545564, 1274.9786773774592, 1631195897.1052318, 2.6006037078120494]"
9,"[835.109816463435, 1308.5025924434885, 1631195944.105575, 3.4529394823493376]"
10,"[793.8456078346585, 1327.1712446878894, 1631195993.1053133, 4.6599159740438365]"
11,"[722.3673649200332, 1361.2810403766046, 1631196041.1056337, 2.656767091064742]"
12,"[681.650386070081, 1379.6931449583733, 1631196090.105282, 6.29809401252053]"
13,"[610.1622574400229, 1413.8167146973508, 1631196138.1055853, 3.277285462678081]"
14,"[568.5476468816631, 1432.6551253678035, 1631196187.1052353, 6.126915336257279]"
15,"[497.91325905213597, 1466.3736886414479, 1631196234.105396, 3.691651435813519]"
16,"[457.4540136487177, 1484.6633726736266, 1631196283.105273, 2.54455159107844]"
17,"[418.1875234466707, 1481.926969059833, 1631196330.1055672, 6.999240930032248]"
18,"[434.80013143867234, 1440.6260097181846, 1631196380.1052408, 4.721839952950526]"
19,"[461.4984626458005, 1365.4127162383643, 1631196428.1055603, 4.788336061468028]"
20,"[477.44858104021506, 1323.2151026296247, 1631196477.1052868, 2.8644230004512905]"
21,"[503.88892861642, 1248.5656090422815, 1631196525.1057272, 0.6639326985436256]"
22,"[519.852488329146, 1206.247941762978, 1631196574.105227, 3.648177026498197]"
23,"[546.0617310679827, 1132.2266558633262, 1631196622.1056187, 0.4262829278454636]"
24,"[562.2450101806121, 1089.2974033156452, 1631196671.1052575, 3.6414079455414203]"
25,"[588.4909181259492, 1015.1843304988599, 1631196719.1056004, 3.44765917399917]"
26,"[604.5704902428653, 972.5502073104268, 1631196768.1052108, 2.721694806609491]"
27,"[630.9506701649933, 898.0627840563776, 1631196816.1055818, 2.9076037545396822]"
28,"[646.8963466119355, 855.8235200885103, 1631196865.1065109, 0.0]"
29,"[673.3833111405166, 781.0219072978599, 1631196913.1055646, 0.0]"
30,"[689.3883544019327, 738.5931071513102, 1631196962.105311, 0.0]"
31,"[715.5313968300762, 664.7713010447225, 1631197009.1055799, 0.0]"
32,"[731.309191713285, 623.0029695188189, 1631197059.1052368, 0.0]"
33,"[763.9174315579891, 509.7658696885222, 1631197133.1045754, 0.0]"
34,"[748.710031360545, 514.0595895893243, 1631197142.1046808, 0.0]"
35,"[737.9754303044574, 524.935936724025, 1631197151.1046784, 0.0]"
36,"[733.0819634398381, 536.3321754566043, 1631197161.104755, 0.0]"
37,"[742.9875959675453, 546.650714437228, 1631197171.1047554, 0.0]"
38,"[753.107519876946, 556.4029126530025, 1631197181.1047528, 0.0]"
39,"[762.3475367860184, 565.3053139136618, 1631197190.104719, 0.0]"
40,"[770.90139466005, 573.5528015339818, 1631197199.1047127, 0.0]"
41,"[778.8164816180551, 581.1887363956985, 1631197207.1047447, 0.0]"
42,"[785.6442758292693, 587.779570523086, 1631197214.1046972, 0.0]"
43,"[790.3860705970852, 595.3259392173283, 1631197222.10471, 0.0]"
44,"[792.3389314747359, 603.9634897480262, 1631197229.104693, 0.0]"
45,"[798.8233022967012, 610.4840738353815, 1631197237.1047025, 0.0]"
46,"[805.4413608194363, 616.8820385008863, 1631197244.1046631, 0.0]"
47,"[812.0275157570318, 623.2540520679885, 1631197252.1047156, 0.0]"
48,"[815.7631273547144, 630.3850088158827, 1631197260.1047013, 0.0]"
49,"[809.5482480716156, 634.8948241634819, 1631197269.104748, 0.0]"
50,"[814.4585765480009, 642.1738870850235, 1631197277.10472, 0.0]"
51,"[821.8559732009409, 649.3306646454485, 1631197286.104749, 0.0]"
52,"[826.3397881467785, 657.0857137481913, 1631197294.104719, 0.0]"
53,"[822.3003066658966, 664.9816644794506, 1631197302.1047263, 0.0]"
54,"[824.7825581509675, 672.7777984963664, 1631197310.1047359, 0.0]"
55,"[833.9388284961224, 673.3509313398226, 1631197318.1047657, 0.0]"
56,"[842.8324493050253, 675.2966049876694, 1631197326.104719, 0.0]"
57,"[850.2136872534621, 682.2898962956101, 1631197335.1047447, 0.0]"
58,"[857.5368636727341, 689.403585859142, 1631197343.104756, 0.0]"
59,"[862.4495073173263, 697.6675300400775, 1631197352.1047382, 0.0]"
60,"[864.6572307228665, 707.0647824337424, 1631197360.1047094, 0.0]"
61,"[871.3973888039142, 713.804834901508, 1631197368.1048217, 0.0]"
62,"[878.5841467544616, 718.4528141920143, 1631197375.104722, 0.0]"
63,"[887.5123949328913, 718.4848907010133, 1631197383.104697, 0.0]"
64,"[895.3793948769298, 720.9807115722338, 1631197391.104672, 0.0]"
65,"[893.2654196346239, 727.7247494552074, 1631197400.1047535, 0.0]"
66,"[887.9735692974372, 722.3220982958237, 1631197409.1047225, 0.0]"
67,"[880.2632240644053, 727.403553731527, 1631197418.104728, 0.0]"
68,"[873.1222016294583, 734.6469034956555, 1631197426.1047344, 0.0]"
69,"[866.3717934567773, 741.4939774866667, 1631197434.1046903, 0.0]"
70,"[862.6240676523253, 748.8684054249296, 1631197442.1047528, 0.0]"
71,"[868.6665640155364, 755.7920461011581, 1631197450.1047597, 0.0]"
72,"[875.5175454099495, 762.4620184653112, 1631197458.10469, 0.0]"
73,"[883.4144595741928, 765.8024488937122, 1631197467.1046956, 0.0]"
74,"[891.3196128488712, 762.0801823097263, 1631197475.104738, 0.0]"
75,"[940.753205435713, 819.1723659348525, 1631197546.104736, 0.0]"
76,"[943.2170798716886, 830.0141922865064, 1631197553.1046543, 0.0]"
77,"[951.3133926216897, 838.1881447688536, 1631197560.104672, 0.0]"
78,"[959.1653133397958, 845.8827506029845, 1631197567.1046574, 0.0]"
79,"[966.6811614087912, 853.255021325086, 1631197574.1046607, 0.0]"
80,"[970.8393729806112, 861.2210256800349, 1631197582.10474, 0.0]"
81,"[962.4488573352824, 865.4713537609558, 1631197590.1047094, 0.0]"
82,"[955.2644838429226, 872.4035673292879, 1631197597.1047466, 0.0]"
83,"[948.3276154477926, 879.4405671860553, 1631197605.1047301, 0.0]"
84,"[940.4412133177481, 883.7576433846025, 1631197613.1047027, 0.0]"
85,"[936.6470080406363, 876.410160417988, 1631197622.1047285, 0.0]"
86,"[943.1053848091237, 869.1786149259542, 1631197629.1046653, 0.0]"
87,"[947.6681928912625, 861.6774183971002, 1631197637.1046994, 0.0]"
88,"[945.2443399707421, 853.6492120394875, 1631197645.1046674, 0.0]"
89,"[935.8873173673793, 852.9938329741308, 1631197653.1046677, 0.0]"
90,"[926.7353867853398, 852.9315002297093, 1631197660.104662, 0.0]"
91,"[918.3781805316794, 854.9823962657323, 1631197668.104706, 0.0]"
92,"[911.9658598951692, 861.3232647984994, 1631197675.104704, 0.0]"
93,"[905.5995715737021, 867.7944600769447, 1631197683.104701, 0.0]"
94,"[898.8143307646692, 874.6922363081762, 1631197691.1047301, 0.0]"
95,"[895.3998687810802, 882.5886952975358, 1631197700.104755, 0.0]"
96,"[900.1666123350888, 890.778195003978, 1631197708.1047447, 0.0]"
97,"[897.2045817123612, 898.5799665365083, 1631197717.1047525, 1.420755689794367]"
98,"[889.1772153567922, 901.5264237571924, 1631197726.1047437, 0.0]"
99,"[894.1473933122193, 904.3939775280809, 1631197737.1047814, 1.1536510586738586]"
100,"[888.4657494505714, 900.1167634785925, 1631197746.1047103, 0.0]"
101,"[880.8078187232751, 907.2314564957336, 1631197755.1047392, 0.0]"
102,"[876.8249509524813, 915.5043745957506, 1631197764.1047478, 2.44235285604843]"
103,"[881.6183497389198, 928.4089257526571, 1631197780.1049252, 2.947919309741319]"
104,"[875.0922302312051, 941.1450961576006, 1631197795.1048694, 3.118736748743539]"
105,"[857.2639288226434, 947.9095158791001, 1631197815.1049623, 3.5329751534895464]"
106,"[840.0748698195057, 958.1140039707274, 1631197831.104881, 2.6392612625854186]"
107,"[830.6241580040512, 964.3540913444948, 1631197849.104937, 0.0]"
108,"[834.9746231843394, 979.2867206106848, 1631197866.104947, 0.0]"
109,"[823.6026722868334, 987.6435580611802, 1631197874.1046972, 0.0]"
110,"[816.2285636544178, 985.2176963671451, 1631197882.1047184, 0.0]"
111,"[820.2662566074786, 979.1142986436519, 1631197891.1047447, 0.0]"
112,"[813.8301469040549, 970.7086858293004, 1631198185.1068785, 0.0]"
113,"[755.4345270616159, 932.3532787812804, 1631198195.1046767, 1.3736233506539857]"
114,"[747.8533701645053, 940.3907662993396, 1631198201.1046746, 1.7874304766606803]"
115,"[738.0238498330472, 950.4834828552033, 1631198211.1047351, 2.7601084438237278]"
116,"[726.6521416623912, 962.1620083552554, 1631198221.104735, 3.7705228954854637]"
117,"[720.0316595073108, 980.2562462228365, 1631198239.1049778, 3.218326359084158]"
118,"[714.4683075416283, 1001.9886991853475, 1631198256.1048992, 0.0]"
119,"[705.0363742471, 1015.8802576648001, 1631198266.104786, 0.0]"
120,"[702.4112379351922, 1027.5752670866918, 1631198276.1047556, 0.0]"
121,"[694.1198507869585, 1036.1583533736668, 1631198285.104748, 0.0]"
122,"[690.1171738585075, 1043.9902767783342, 1631198293.1047459, 0.0]"
123,"[697.812345214687, 1047.5976093267084, 1631198301.1047072, 1.6198480225572682]"
124,"[701.6097186684051, 1054.5310494721707, 1631198309.104688, 1.2760584354400635]"
125,"[690.391651205856, 1056.3489715723454, 1631198322.1048315, 1.8918321445734814]"
126,"[676.6380406764163, 1060.028028828715, 1631198334.1047688, 2.1964518469993513]"
