,depths
0,"[1286.24987470636, 1100.269543108511, 1631188784.1863027, 3.827910192085035]"
1,"[1243.588794107905, 1116.720195441408, 1631188816.1855848, 0.0]"
2,"[1170.999011108055, 1151.2261726122997, 1631188864.1860237, 4.820659088968027]"
3,"[1130.8397841743174, 1169.391804644459, 1631188912.1857574, 3.7307745055718855]"
4,"[1058.4163161615443, 1203.9522771434908, 1631188960.1859448, 2.7554472865480366]"
5,"[1018.0750702220059, 1222.1804722440572, 1631189008.1857104, 4.713331488045779]"
6,"[946.6001732786194, 1256.3020097231379, 1631189056.1860526, 0.0]"
7,"[905.6088620754356, 1274.842436821283, 1631189104.1857176, 2.6038970540870316]"
8,"[834.6986119628308, 1308.6902333427543, 1631189152.1859984, 3.40364329923283]"
9,"[793.7728611531775, 1327.193674104285, 1631189201.1856642, 2.32100824785955]"
10,"[722.4131954656515, 1361.26779490744, 1631189248.1859894, 2.756271703676744]"
11,"[681.8293447122953, 1379.6030800769192, 1631189297.1857061, 6.141258337280967]"
12,"[609.7281760886401, 1414.0219020197871, 1631189345.1859393, 6.516439139842988]"
13,"[568.3173148160233, 1432.763889957036, 1631189393.1857371, 4.725955199713659]"
14,"[498.1527371430642, 1466.256415485896, 1631189441.1860898, 3.759656361558221]"
15,"[456.81860342223206, 1484.9601504388781, 1631189490.185721, 2.648896346188555]"
16,"[418.1097909197178, 1480.9807915062572, 1631189538.1859844, 6.956769952268312]"
17,"[435.13431545226575, 1439.6999351677841, 1631189588.1857605, 4.742649740642971]"
18,"[461.5735721724512, 1365.2129353602816, 1631189635.1860213, 4.794754560547646]"
19,"[477.18688108393656, 1323.9678626661491, 1631189684.1857166, 0.5155569712320964]"
20,"[503.95899973729695, 1248.3745870743949, 1631189732.1860113, 3.8411830844301167]"
21,"[519.7848720576776, 1206.4608400714326, 1631189781.1850598, 6.813199470741581]"
22,"[546.3619227224291, 1131.3961355476438, 1631189829.1860104, 1.0483523209889731]"
23,"[562.2333722461933, 1089.3594904802217, 1631189878.185725, 4.665806395537926]"
24,"[588.4768108770606, 1015.2155916268188, 1631189925.1860464, 3.402032944289121]"
25,"[604.3734185894974, 972.9824793968825, 1631189974.1857214, 4.772750416187325]"
26,"[630.9381350631105, 898.1031414292536, 1631190022.1860518, 3.0221306121710576]"
27,"[646.8892716731302, 855.9905019310069, 1631190071.1857247, 0.0]"
28,"[673.2120246499668, 781.5044242482127, 1631190119.1860738, 4.71856723620434]"
29,"[689.1630283895222, 739.243655229411, 1631190168.185695, 0.0]"
30,"[715.4349325094703, 665.0419777433061, 1631190215.185608, 0.0]"
31,"[731.342102396509, 622.9229892103184, 1631190264.1857092, 0.0]"
32,"[779.298538117818, 516.0216429532829, 1631190340.1853588, 0.0]"
33,"[792.8075305580797, 529.5986324933297, 1631190350.1851978, 0.0]"
34,"[805.1605810675193, 541.4984473953001, 1631190361.1852705, 0.0]"
35,"[817.0861144777501, 553.0098633206626, 1631190372.1851873, 0.0]"
36,"[824.5845416664653, 567.6569602916982, 1631190386.1853235, 0.0]"
37,"[829.2615058639308, 583.9614576513718, 1631190399.185285, 0.0]"
38,"[837.060442756656, 597.5410142365849, 1631190412.1852868, 0.0]"
39,"[841.4989439679977, 612.2218284372884, 1631190425.1852155, 0.0]"
40,"[845.6281654545264, 624.5405441072537, 1631190439.1853206, 0.0]"
41,"[838.4038559874324, 637.3166764408319, 1631190451.1852262, 0.0]"
42,"[835.470090807236, 650.0861766959954, 1631190462.185256, 0.0]"
43,"[826.5715905149635, 659.1299273687112, 1631190472.1852179, 0.0]"
44,"[818.059895670423, 667.7647105917698, 1631190482.1852376, 0.0]"
45,"[813.8036694628097, 676.517979326656, 1631190491.185195, 0.0]"
46,"[817.3058932900854, 684.8517683047861, 1631190500.185215, 0.0]"
47,"[811.3108611157643, 691.8117632556962, 1631190507.1851933, 0.0]"
48,"[806.9989398597581, 699.1654867117991, 1631190515.1851883, 0.0]"
49,"[809.6468967080024, 706.9291425633443, 1631190523.18516, 0.0]"
50,"[816.8876617497505, 710.2044615946742, 1631190532.1852055, 0.0]"
51,"[811.6884304052342, 715.5387306166991, 1631190539.1851346, 0.0]"
52,"[803.4492890318401, 717.5353632204759, 1631190547.1851003, 0.0]"
53,"[796.648963002368, 724.1975739388532, 1631190555.1851723, 0.0]"
54,"[789.4822809357188, 731.4939900620665, 1631190564.1851847, 0.0]"
55,"[784.375180907954, 739.6744071199164, 1631190572.1851463, 0.0]"
56,"[782.0472291235822, 748.9478214275289, 1631190581.1851807, 0.0]"
57,"[774.9926468809153, 756.2449244767398, 1631190589.1851947, 0.0]"
58,"[771.8715936797686, 763.5583272192761, 1631190598.18522, 0.0]"
59,"[778.9184764505144, 767.2046918508189, 1631190606.1851845, 0.0]"
60,"[774.9920632322779, 774.2244870324985, 1631190614.1851833, 0.0]"
61,"[771.2544940591156, 781.3649340571568, 1631190622.1851802, 0.0]"
62,"[778.5526965737357, 785.0602561229067, 1631190630.185176, 0.0]"
63,"[785.0613595695328, 791.1092400340937, 1631190637.185216, 0.0]"
64,"[789.5482702533258, 798.3172514888724, 1631190645.185138, 0.0]"
65,"[788.1324916844576, 806.6875626623286, 1631190652.185202, 0.0]"
66,"[781.9991801858529, 813.1853040380282, 1631190660.1851764, 0.0]"
67,"[777.3181715289098, 820.9540548569108, 1631190668.1851861, 0.0]"
68,"[777.5098213544161, 831.0835906561659, 1631190677.185215, 0.0]"
69,"[777.8064988589994, 843.2335366735107, 1631192450.2197735, 1.4595001652987316]"
70,"[784.1428643722134, 891.0125594630149, 1631192463.1852195, 0.0]"
71,"[787.5415720687653, 906.5027404824194, 1631192472.1851954, 0.0]"
72,"[797.3691516164569, 916.1525039386687, 1631192479.1851265, 0.0]"
73,"[805.4931733401023, 924.0712721055917, 1631192486.1851156, 0.0]"
74,"[813.0938475762252, 931.4917146522898, 1631192493.1851509, 1.3105245693163439]"
