,depths
0,"[-708.901592626086, -1129.2825540339813, 1636050210.3224008, 3.0602904139745117]"
1,"[-752.1967066197619, -1107.2191413892185, 1636050261.3222187, 2.816480539061806]"
2,"[-820.0459632414754, -1074.9446785689108, 1636050309.322479, 3.6654852929741444]"
3,"[-861.9312957526603, -1055.566333011873, 1636050359.322347, 4.650624162922002]"
4,"[-933.0072470397947, -1022.0573896774788, 1636050406.3222518, 2.8342424059155014]"
5,"[-973.3594102373362, -1003.4294424761558, 1636050456.3221838, 4.6815362380008505]"
6,"[-1044.9025990008636, -969.6839552356197, 1636050503.3224914, 0.4311510890421241]"
7,"[-1067.3286107489666, -968.948865257591, 1636050650.3230243, 2.619887690652501]"
8,"[-1156.043866500158, -917.6702353070659, 1636050698.3227305, 2.3683077449148353]"
9,"[-1197.562993001049, -898.4734709913599, 1636050748.3234878, 2.626269839929812]"
10,"[-1269.3148810930743, -864.6468281474741, 1636050796.3225927, 2.640206869804498]"
11,"[-1310.5739905360165, -845.5788246937174, 1636050845.3223698, 2.5118318793147503]"
12,"[-1381.2831531348181, -812.2390958400587, 1636050893.3225915, 4.682414390824058]"
13,"[-1422.7902817663712, -793.0800203318452, 1636050942.322373, 2.6836660654857902]"
14,"[-1493.7086007570376, -759.6174450597705, 1636050990.3226058, 0.428692102432251]"
15,"[-1513.599256951657, -758.0980431704453, 1636051137.323089, 4.04680417643653]"
16,"[-1570.9706989764236, -744.4238811494536, 1636051185.3224812, 2.6482710097775315]"
17,"[-1556.4637130593612, -786.4633389305967, 1636051236.322317, 3.686714071216005]"
18,"[-1530.0716019166423, -860.3652827362114, 1636051283.3226175, 3.8090394626964224]"
19,"[-1514.4201075982553, -902.9518979133163, 1636051333.3224375, 3.310907665226195]"
20,"[-1487.9053477264158, -976.6792915086736, 1636051380.322718, 2.6247448397405218]"
21,"[-1472.2700487172299, -1019.111557770405, 1636051430.32232, 0.34334081411361694]"
22,"[-1445.4172714132364, -1093.8531284968396, 1636051477.3226845, 2.6383845685708405]"
23,"[-1436.2745389878894, -1112.5514277606921, 1636051617.3232658, 4.746838905293532]"
24,"[-1403.2576842674025, -1210.9469571046527, 1636051665.3226783, 3.382881118191613]"
25,"[-1387.4275775589422, -1253.2587106166725, 1636051715.3223171, 4.643332585541889]"
26,"[-1360.793950026005, -1327.2204725878178, 1636051762.322624, 3.6728926963276334]"
27,"[-1345.3334233775347, -1369.2422332492833, 1636051812.3223417, 3.7676024503178067]"
28,"[-1318.150172430574, -1444.8082195368233, 1636051860.3226216, 2.8609773191538723]"
29,"[-1302.5186191382475, -1487.2389791563392, 1636051909.3223052, 4.565324772487988]"
30,"[-1276.0165592175647, -1560.9824852266977, 1636051957.3226306, 4.4364627915801425]"
31,"[-1265.0539278066872, -1579.3702709976938, 1636052099.322887, 3.671773662470808]"
32,"[-1244.0686796420296, -1663.1037875656084, 1636052124.3221776, 3.1401739000069973]"
33,"[-1243.6854626074387, -1689.5264275495688, 1636052141.3221743, 4.338834216498365]"
34,"[-1243.013362315952, -1714.7123669857183, 1636052161.3221464, 3.5265398278380884]"
35,"[-1242.3695387345979, -1739.2736872118587, 1636052179.3220403, 3.086539214307612]"
36,"[-1241.7873424902323, -1761.1794729073836, 1636052196.322346, 2.693928540355027]"
37,"[-1248.1240241404182, -1779.8623837971652, 1636052214.3220887, 3.5624367450222825]"
38,"[-1264.5695540418155, -1796.9016693574558, 1636052235.3221169, 3.2068933429140034]"
39,"[-1280.6449612335987, -1814.1563110161353, 1636052253.3220704, 3.4825320677323774]"
40,"[-1296.64491211476, -1831.371771968948, 1636052274.3221514, 3.2913999846487334]"
41,"[-1312.599171302993, -1848.5579153185843, 1636052292.3220634, 4.24305107617619]"
42,"[-1333.1530963352975, -1857.447548083168, 1636052315.322284, 2.825067476792769]"
