,depths
43,"[-1355.621354288296, -1865.685662171826, 1636052336.3221238, 2.647645829301892]"
44,"[-1371.189748152997, -1883.1058319595236, 1636052354.3220737, 3.281373957792918]"
45,"[-1385.0099412952943, -1898.1049073563765, 1636052370.3220878, 1.2226444350348578]"
46,"[-1388.359177949085, -1908.4931454138434, 1636052385.3218787, 0.8259916450038101]"
47,"[-1378.7047193018154, -1900.32853715854, 1636052399.3221118, 2.2777107532578285]"
48,"[-1379.3792818105298, -1882.6783019305626, 1636052415.3220158, 2.8861136869950728]"
49,"[-1385.0696055342564, -1876.4451903989243, 1636052508.3223255, 2.2708185062263953]"
50,"[-1391.7789715549027, -1879.1068946757448, 1636052526.3220565, 2.5568923209652756]"
51,"[-1387.5137517607923, -1857.7923722706705, 1636052538.3218088, 3.4530951723907934]"
52,"[-1387.5676348459929, -1835.7831776116095, 1636052554.3220494, 2.345962456380478]"
53,"[-1387.5755184348995, -1812.7705612013292, 1636052570.3220375, 3.891056537628174]"
54,"[-1397.6059831408666, -1799.9156621945995, 1636052590.3219595, 3.968255325399264]"
55,"[-1420.250397762354, -1801.302792075582, 1636052606.3219023, 4.397794076890657]"
56,"[-1439.2519971218676, -1808.9068885465285, 1636052626.3221004, 3.7730597871722598]"
57,"[-1448.3211452703094, -1828.312507473291, 1636052644.322046, 3.1867817242940264]"
58,"[-1454.7804885838316, -1847.6390072872885, 1636052663.3220549, 3.6707328160603843]"
59,"[-1463.8499252363026, -1865.1794011395918, 1636052680.321949, 4.280203382174173]"
60,"[-1463.3058554429474, -1887.9989692272497, 1636052701.322086, 3.5357189937071367]"
61,"[-1463.2361818744637, -1911.4277546932992, 1636052719.3220477, 4.041150642163826]"
62,"[-1461.9512209435204, -2188.884305972002, 1636053420.3302271, 3.459877446444348]"
63,"[-1467.9925524041942, -2353.621074992721, 1636053513.3223782, 2.3809915892403533]"
64,"[-1477.4145591345912, -2375.5267560245056, 1636053528.3220563, 2.632085182751068]"
65,"[-1476.9335560487045, -2397.788067761137, 1636053540.3220599, 2.8637413894287262]"
66,"[-1476.8379298534855, -2418.934277591448, 1636053554.3220117, 3.2869844075405235]"
67,"[-1476.749548767445, -2439.7099155427713, 1636053568.3220165, 2.426181775150877]"
68,"[-1476.6540975895782, -2460.445517934079, 1636053584.3221266, 2.732252265467788]"
69,"[-1476.5661538321654, -2480.832198516139, 1636053599.3220382, 2.8409836376556243]"
70,"[-1476.4656338715617, -2502.427557444913, 1636053618.3221064, 3.363196480755854]"
71,"[-1476.3705624905492, -2524.1457721019965, 1636053634.3220398, 3.111575499929563]"
72,"[-1476.2701082303377, -2545.5366512367304, 1636053653.3221145, 3.3299569060104064]"
73,"[-1476.1735979012235, -2567.3963911876, 1636053670.322067, 3.964009154926647]"
74,"[-1483.9409815385866, -2586.918260704685, 1636053691.3220332, 2.48923138777415]"
75,"[-1493.7023568097447, -2607.154626256425, 1636053711.3221278, 3.438350455929535]"
76,"[-1493.1591977716841, -2631.737845585146, 1636053732.3221304, 2.32854864332411]"
77,"[-1493.0317175186399, -2655.752251878717, 1636053751.322148, 3.000655856999484]"
78,"[-1492.8961657086297, -2679.177350920519, 1636053771.3221269, 2.1035857486604437]"
79,"[-1486.560576863399, -2699.2250320160624, 1636053789.3221154, 0.9644523341246325]"
80,"[-1471.5630562667075, -2707.815885082544, 1636053802.3220036, 1.39961851576362]"
81,"[-1457.768337450959, -2703.5791402372533, 1636053815.3220315, 2.062180269848217]"
82,"[-1445.6287389126235, -2691.229690751086, 1636053831.3221626, 2.3492060869631137]"
83,"[-1432.2550932954614, -2678.323195896, 1636053846.3220296, 2.386405249436696]"
84,"[-1417.593041387235, -2664.1418812190864, 1636053865.3221333, 1.836136003335317]"
85,"[-1408.4599583712195, -2647.263085892172, 1636053881.3220856, 3.4174048473136596]"
86,"[-1413.6600268498162, -2633.0323746098998, 1636053994.3226871, 3.6459443141715693]"
87,"[-1404.1142191184845, -2653.5570560674882, 1636054007.3219955, 3.5182887135129985]"
88,"[-1388.1993949375924, -2669.191331123024, 1636054023.3220673, 2.616332530975342]"
89,"[-1371.5159305261425, -2686.473166603714, 1636054041.3221374, 3.3515533750707456]"
90,"[-1362.0662171688177, -2707.531560318993, 1636054061.32197, 2.965992164431196]"
91,"[-1355.7684419214665, -2728.6460236118905, 1636054079.3221207, 2.4551414528278386]"
92,"[-1340.1030160576406, -2732.6322235363805, 1636054098.3220649, 2.083804802461104]"
93,"[-1323.4083716043704, -2723.2146498289303, 1636054115.322032, 2.8031561750956255]"
94,"[-1301.67493313972, -2724.269734777671, 1636054134.3219273, 3.363365813939258]"
95,"[-1288.0299153091605, -2731.933022104242, 1636054151.3220384, 3.70072013079518]"
96,"[-1289.4275525591977, -2754.917918252904, 1636054173.3221886, 3.564111427827315]"
97,"[-1289.5097238123958, -2778.9593584406794, 1636054191.3220658, 2.8674972852071123]"
98,"[-1283.1397279322125, -2797.785135008305, 1636054209.3221083, 3.1036375761032104]"
99,"[-1267.980294694529, -2813.1184184279236, 1636054227.3220694, 0.9452828722770767]"
100,"[-1252.7470432741984, -2822.190128554037, 1636054241.321994, 2.6219053617631545]"
101,"[-1236.613926135111, -2822.1409334289388, 1636054254.321965, 2.34904979575764]"
102,"[-1217.9963155753876, -2822.6615908588374, 1636054272.322075, 2.4864818498943793]"
103,"[-1198.2307842643354, -2823.206146898441, 1636054287.3220494, 2.7639326314733488]"
104,"[-1177.8597023786751, -2823.7689744205745, 1636054306.3220599, 3.3872909112410112]"
105,"[-1164.1881131497569, -2830.8205847629265, 1636054322.3220823, 2.5011785825093584]"
106,"[-1158.31739762695, -2842.626352492512, 1636054340.322122, 3.454577031761709]"
107,"[-1153.5363089788545, -2835.4121265911444, 1636054433.3220835, 3.2791758745607704]"
108,"[-1170.5091316357484, -2840.338493972756, 1636054452.3219092, 3.6694584856129655]"
109,"[-1170.2032379402344, -2864.842467603911, 1636054465.3220198, 2.5219892769148857]"
110,"[-1162.7500514355884, -2878.7212879525678, 1636054480.3220892, 2.49065147746693]"
111,"[-1141.8486630891393, -2877.561359860224, 1636054495.3219047, 3.1493011713027954]"
112,"[-1119.653011301573, -2878.2298462329222, 1636054513.3220623, 2.7997862353469385]"
113,"[-1097.085983011525, -2878.891232467311, 1636054530.3220332, 5.248091246142532]"
114,"[-1081.600156416048, -2894.127356165261, 1636054555.322133, 4.4572646834633565]"
115,"[-1081.8202327099757, -2916.187152674096, 1636054571.3220022, 2.4312192936136263]"
116,"[-1076.4007886529935, -2928.60265349185, 1636054585.3220043, 4.770985921223959]"
117,"[-1065.58112312562, -2932.50542349882, 1636054599.3220022, 3.239537236666439]"
118,"[-1065.914697873619, -2944.3572978238626, 1636054606.321847, 1.4717919031778972]"
119,"[-1054.6887821658884, -2945.247119516608, 1636054620.3219771, 2.511446537393512]"
120,"[-1043.5023835889035, -2940.0669460453196, 1636054635.3219523, 4.240149157215851]"
121,"[-1047.3342576122654, -2935.536207828375, 1636054660.3222013, 3.203584478961097]"
122,"[-1034.8951222363382, -2952.6517611081376, 1636054682.322096, 2.7545855840047198]"
123,"[-1012.2297379182988, -2952.7318160103, 1636054700.3220716, 1.1962612957665415]"
124,"[-999.3013419899863, -2945.5382214020815, 1636054718.3220968, 2.9479693848677355]"
125,"[-1001.3079742806617, -2920.3196303394525, 1636054740.3221037, 2.0278229183620877]"
126,"[-1001.6932400916056, -2898.7643962612924, 1636054757.3220398, 3.577107441545737]"
127,"[-1002.1583977025213, -2872.3224751247544, 1636054781.3221307, 3.7729864794798575]"
128,"[-1005.3004837678493, -2859.9444621173266, 1636054799.3220608, 4.204881170783381]"
129,"[-1002.656369184496, -2870.034455586381, 1636054892.6275806, 0.7696618395622331]"
130,"[-995.2470763064028, -2862.379928310565, 1636054908.6277058, 2.0226441742193817]"
131,"[-997.8340061501021, -2838.9468252921047, 1636054921.6276786, 2.3746914719090317]"
132,"[-1004.9297945375642, -2817.729565080801, 1636054937.6277256, 2.4257274468739825]"
133,"[-1021.7457379913795, -2800.836594537852, 1636054954.6277354, 2.160961039138563]"
