,depths
0,"[-706.2663706785597, -1126.1860538784365, 1635243730.5489104, 4.81068741251724]"
1,"[-749.0440002880345, -1109.6626530045821, 1635243762.54822, 3.3754486875100573]"
2,"[-821.8297918281742, -1075.0755114856768, 1635243810.548692, 3.8529428279761113]"
3,"[-861.9760474247219, -1056.916336697854, 1635243858.5483696, 6.752066869928379]"
4,"[-934.1099911123667, -1022.5049938272437, 1635243906.5486903, 0.6461542314953275]"
5,"[-974.9277376789171, -1004.0451203306185, 1635243954.5483396, 4.71586518155204]"
6,"[-1048.316178691173, -969.0058752635557, 1635244080.549189, 6.499461149627512]"
7,"[-1086.0041812806423, -952.2167366265601, 1635244127.5484798, 4.741438753677137]"
8,"[-1158.5626168075567, -917.45032733335, 1635244175.5488415, 2.6527964228933505]"
9,"[-1199.5040960432304, -898.9368227451182, 1635244223.5485258, 4.746308882429142]"
10,"[-1270.4878072472836, -865.0642319197186, 1635244271.548894, 4.637115987864408]"
11,"[-1311.345449380969, -846.6401729402478, 1635244319.5485094, 2.779728661883961]"
12,"[-1383.0464216564537, -812.3841227090338, 1635244367.5488627, 4.710557875609157]"
13,"[-1423.2014997031786, -806.1701267525812, 1635244507.5490549, 2.586745387978024]"
14,"[-1494.72453663213, -760.7658032753109, 1635244555.5487168, 2.4943628311157227]"
15,"[-1535.2696398173437, -741.831254565571, 1635244604.5484006, 0.9390951124104587]"
16,"[-1574.8754973795753, -744.7382679835493, 1635244652.5487626, 0.2649717628955841]"
17,"[-1557.8282447123386, -786.2043611146989, 1635244701.5485544, 3.510759629384436]"
18,"[-1531.4779526485897, -860.4137826630792, 1635244749.5487247, 2.4920876757665114]"
19,"[-1515.3607100106833, -903.0395392305085, 1635244798.548385, 6.771850352335458]"
20,"[-1487.7696957937567, -981.0121028007724, 1635244924.549078, 2.710583039907494]"
21,"[-1473.0981106832917, -1019.1730220559859, 1635244970.5484657, 3.607828866351735]"
22,"[-1446.4799697544088, -1094.687469273275, 1635245019.5488756, 4.807306569634061]"
23,"[-1430.3950758554365, -1137.211111373154, 1635245067.5484834, 4.775013039509456]"
24,"[-1404.2068657750801, -1211.268615575871, 1635245115.548851, 0.3673138449890445]"
25,"[-1388.294718880922, -1253.2757139322093, 1635245163.548297, 1.1137545451973425]"
26,"[-1362.0448102685561, -1327.5136245751985, 1635245211.5488544, 4.713300027630546]"
27,"[-1339.9047875280298, -1362.8888193803753, 1635245350.5489745, 6.350318213303884]"
28,"[-1319.0864527083247, -1443.937816066847, 1635245399.5488384, 0.0]"
29,"[-1303.6455366452744, -1486.7037153356248, 1635245447.5483534, 0.0]"
30,"[-1277.2582450863763, -1561.2892494116018, 1635245495.548707, 6.644625909400709]"
31,"[-1261.4446648691262, -1602.9833824310952, 1635245544.5484424, 0.0]"
32,"[-1237.1063480316902, -1658.8936832761783, 1635245566.5480876, 0.0]"
33,"[-1222.2942924031279, -1673.738629378286, 1635245579.547933, 0.0]"
34,"[-1210.9275347334858, -1677.2845009053203, 1635245593.5479925, 0.0]"
35,"[-1210.762190062023, -1660.32923335226, 1635245606.5479157, 0.0]"
36,"[-1210.3524516642467, -1637.809843520948, 1635245712.5485926, 0.0]"
37,"[-1210.2685539717438, -1616.5195436664574, 1635245722.5478773, 0.0]"
38,"[-1210.2604263036021, -1598.6818305987285, 1635245734.5479045, 0.0]"
39,"[-1210.25297720652, -1580.5686158095627, 1635245746.5479078, 0.0]"
40,"[-1210.2460761083655, -1562.9665869734956, 1635245759.5479343, 0.0]"
41,"[-1210.2403516049476, -1545.5006596197934, 1635245772.5479364, 3.0713295888419103]"
42,"[-1201.2617594994276, -1539.7728905999722, 1635245795.548153, 0.0]"
43,"[-1187.7188596421595, -1544.0278982717764, 1635245816.548111, 0.0]"
44,"[-1193.149628658021, -1525.257987204449, 1635245830.5479572, 0.0]"
