timestamp (seconds since 01/01/1970), system, entity , value
1636122044.039442, lauv-xplore-1, 78, 0.000000
1636122045.037414, lauv-xplore-1, 78, 0.000000
1636122046.037096, lauv-xplore-1, 78, 0.000000
1636122047.036889, lauv-xplore-1, 78, 0.000000
1636122048.036802, lauv-xplore-1, 78, 0.000000
1636122049.036515, lauv-xplore-1, 78, 0.000000
1636122050.036445, lauv-xplore-1, 78, 0.000000
1636122051.036214, lauv-xplore-1, 78, 0.000000
1636122052.036104, lauv-xplore-1, 78, 0.000000
1636122053.035750, lauv-xplore-1, 78, 0.000000
1636122054.035761, lauv-xplore-1, 78, 0.000000
1636122055.035376, lauv-xplore-1, 78, 0.000000
1636122056.035373, lauv-xplore-1, 78, 0.000000
1636122057.035142, lauv-xplore-1, 78, 0.000000
1636122058.035000, lauv-xplore-1, 78, 0.000000
1636122059.034784, lauv-xplore-1, 78, 0.000000
1636122060.034643, lauv-xplore-1, 78, 0.000000
1636122061.034501, lauv-xplore-1, 78, 0.000000
1636122062.034240, lauv-xplore-1, 78, 0.000000
1636122063.034088, lauv-xplore-1, 78, 0.000000
1636122064.033926, lauv-xplore-1, 78, 0.000000
1636122065.033703, lauv-xplore-1, 78, 0.000000
1636122066.033440, lauv-xplore-1, 78, 0.000000
1636122067.033299, lauv-xplore-1, 78, 0.000000
1636122068.033111, lauv-xplore-1, 78, 0.000000
1636122069.032915, lauv-xplore-1, 78, 0.000000
1636122070.032674, lauv-xplore-1, 78, 0.000000
1636122071.032563, lauv-xplore-1, 78, 0.000000
1636122072.032392, lauv-xplore-1, 78, 0.000000
1636122073.032267, lauv-xplore-1, 78, 0.000000
1636122074.032074, lauv-xplore-1, 78, 0.000000
1636122075.031907, lauv-xplore-1, 78, 0.000000
1636122076.031715, lauv-xplore-1, 78, 0.000000
1636122077.031407, lauv-xplore-1, 78, 0.000000
1636122078.031359, lauv-xplore-1, 78, 0.000000
1636122079.031119, lauv-xplore-1, 78, 0.000000
1636122080.030984, lauv-xplore-1, 78, 0.000000
1636122081.030742, lauv-xplore-1, 78, 0.000000
1636122082.030519, lauv-xplore-1, 78, 0.000000
1636122083.030325, lauv-xplore-1, 78, 0.000000
1636122084.030153, lauv-xplore-1, 78, 0.000000
1636122085.030105, lauv-xplore-1, 78, 0.000000
1636122086.029886, lauv-xplore-1, 78, 0.000000
1636122087.029677, lauv-xplore-1, 78, 0.000000
1636122088.029497, lauv-xplore-1, 78, 0.000000
1636122089.029244, lauv-xplore-1, 78, 0.000000
1636122090.029048, lauv-xplore-1, 78, 0.000000
1636122091.028993, lauv-xplore-1, 78, 0.000000
1636122092.028756, lauv-xplore-1, 78, 0.000000
1636122093.028518, lauv-xplore-1, 78, 0.000000
1636122094.028410, lauv-xplore-1, 78, 0.000000
1636122095.028240, lauv-xplore-1, 78, 0.000000
1636122096.027922, lauv-xplore-1, 78, 0.000000
1636122097.027900, lauv-xplore-1, 78, 0.000000
1636122098.027649, lauv-xplore-1, 78, 0.000000
1636122099.027426, lauv-xplore-1, 78, 0.000000
1636122100.027199, lauv-xplore-1, 78, 0.000000
1636122101.027041, lauv-xplore-1, 78, 0.000000
1636122102.026975, lauv-xplore-1, 78, 0.000000
1636122103.026713, lauv-xplore-1, 78, 0.000000
1636122104.026600, lauv-xplore-1, 78, 0.000000
1636122105.026321, lauv-xplore-1, 78, 0.000000
1636122106.026091, lauv-xplore-1, 78, 0.000000
1636122107.026121, lauv-xplore-1, 78, 0.000000
1636122108.025846, lauv-xplore-1, 78, 0.000000
1636122109.025666, lauv-xplore-1, 78, 0.000000
1636122110.025419, lauv-xplore-1, 78, 0.000000
1636122111.025273, lauv-xplore-1, 78, 0.000000
1636122112.025038, lauv-xplore-1, 78, 0.000000
1636122113.024965, lauv-xplore-1, 78, 0.000000
1636122114.024616, lauv-xplore-1, 78, 0.000000
1636122115.024604, lauv-xplore-1, 78, 0.000000
1636122116.024366, lauv-xplore-1, 78, 0.000000
1636122117.024244, lauv-xplore-1, 78, 0.000000
1636122118.024008, lauv-xplore-1, 78, 0.000000
1636122119.023777, lauv-xplore-1, 78, 0.000000
1636122120.023529, lauv-xplore-1, 78, 0.000000
1636122121.023456, lauv-xplore-1, 78, 0.000000
1636122122.023202, lauv-xplore-1, 78, 0.000000
1636122123.023204, lauv-xplore-1, 78, 0.000000
1636122124.022834, lauv-xplore-1, 78, 0.000000
1636122125.022785, lauv-xplore-1, 78, 0.000000
1636122126.022460, lauv-xplore-1, 78, 0.000000
1636122127.022395, lauv-xplore-1, 78, 0.000000
1636122128.022172, lauv-xplore-1, 78, 0.000000
1636122129.021974, lauv-xplore-1, 78, 0.000000
1636122130.021793, lauv-xplore-1, 78, 0.000000
1636122131.021558, lauv-xplore-1, 78, 0.000000
1636122132.021370, lauv-xplore-1, 78, 0.000000
1636122133.021270, lauv-xplore-1, 78, 0.000000
1636122134.021111, lauv-xplore-1, 78, 0.000000
1636122135.020821, lauv-xplore-1, 78, 0.000000
1636122136.020659, lauv-xplore-1, 78, 0.000000
1636122137.020415, lauv-xplore-1, 78, 0.000000
1636122138.020408, lauv-xplore-1, 78, 0.000000
1636122139.020102, lauv-xplore-1, 78, 0.000000
1636122140.019975, lauv-xplore-1, 78, 0.000000
1636122141.019778, lauv-xplore-1, 78, 0.000000
1636122142.019568, lauv-xplore-1, 78, 0.000000
1636122143.019368, lauv-xplore-1, 78, 0.000000
1636122144.019297, lauv-xplore-1, 78, 0.000000
1636122145.019084, lauv-xplore-1, 78, 0.000000
1636122146.018938, lauv-xplore-1, 78, 0.000000
1636122147.018712, lauv-xplore-1, 78, 0.000000
1636122148.018532, lauv-xplore-1, 78, 0.000000
1636122149.018304, lauv-xplore-1, 78, 0.000000
1636122150.018261, lauv-xplore-1, 78, 0.000000
1636122151.017921, lauv-xplore-1, 78, 0.000000
1636122152.017844, lauv-xplore-1, 78, 0.000000
1636122153.017636, lauv-xplore-1, 78, 0.000000
1636122154.017400, lauv-xplore-1, 78, 0.000000
1636122155.017179, lauv-xplore-1, 78, 0.000000
1636122156.017043, lauv-xplore-1, 78, 0.000000
1636122157.016780, lauv-xplore-1, 78, 0.000000
1636122158.016703, lauv-xplore-1, 78, 0.000000
1636122159.016574, lauv-xplore-1, 78, 0.000000
1636122160.016393, lauv-xplore-1, 78, 0.000000
1636122161.016163, lauv-xplore-1, 78, 0.000000
1636122162.015973, lauv-xplore-1, 78, 0.000000
1636122163.015714, lauv-xplore-1, 78, 0.000000
1636122164.015610, lauv-xplore-1, 78, 0.000000
1636122165.015379, lauv-xplore-1, 78, 0.000000
1636122166.015376, lauv-xplore-1, 78, 0.000000
1636122167.015360, lauv-xplore-1, 78, 0.000000
1636122168.014907, lauv-xplore-1, 78, 0.000000
1636122169.014701, lauv-xplore-1, 78, 0.000000
1636122170.014448, lauv-xplore-1, 78, 0.000000
1636122171.014363, lauv-xplore-1, 78, 0.000000
1636122172.014085, lauv-xplore-1, 78, 0.000000
1636122173.014083, lauv-xplore-1, 78, 0.000000
1636122174.013817, lauv-xplore-1, 78, 0.000000
1636122175.013652, lauv-xplore-1, 78, 0.000000
1636122176.013436, lauv-xplore-1, 78, 0.000000
1636122177.013292, lauv-xplore-1, 78, 0.000000
1636122178.013085, lauv-xplore-1, 78, 0.000000
1636122179.012906, lauv-xplore-1, 78, 0.000000
1636122180.012642, lauv-xplore-1, 78, 0.000000
1636122181.012558, lauv-xplore-1, 78, 0.000000
1636122182.012381, lauv-xplore-1, 78, 0.000000
1636122183.012185, lauv-xplore-1, 78, 0.000000
1636122184.011999, lauv-xplore-1, 78, 0.000000
1636122185.011658, lauv-xplore-1, 78, 0.000000
1636122186.011533, lauv-xplore-1, 78, 0.000000
1636122187.011349, lauv-xplore-1, 78, 0.000000
1636122188.011312, lauv-xplore-1, 78, 0.000000
1636122189.011085, lauv-xplore-1, 78, 0.000000
1636122190.010841, lauv-xplore-1, 78, 0.000000
1636122191.010578, lauv-xplore-1, 78, 0.000000
