timestamp, system, entity , value (m)
1625574498.064, lauv-roald, DVL, 0.130
1625574498.262, lauv-roald, DVL, 0.146
1625574498.400, lauv-roald, SmartX, 0.448
1625574498.461, lauv-roald, DVL, 0.160
1625574498.860, lauv-roald, DVL, 0.181
1625574498.900, lauv-roald, SmartX, 0.398
1625574499.060, lauv-roald, DVL, 0.161
1625574499.264, lauv-roald, DVL, 0.131
1625574499.400, lauv-roald, SmartX, 0.338
1625574499.664, lauv-roald, DVL, 0.084
1625574499.863, lauv-roald, DVL, 0.050
1625574499.900, lauv-roald, SmartX, 0.239
1625574500.064, lauv-roald, DVL, 0.012
1625574500.400, lauv-roald, SmartX, 0.229
1625574500.464, lauv-roald, DVL, 0.000
1625574500.661, lauv-roald, DVL, 0.000
1625574500.862, lauv-roald, DVL, 0.000
1625574500.900, lauv-roald, SmartX, 0.269
1625574501.264, lauv-roald, DVL, 0.008
1625574501.400, lauv-roald, SmartX, 0.269
1625574501.461, lauv-roald, DVL, 0.011
1625574501.663, lauv-roald, DVL, 0.012
1625574501.900, lauv-roald, SmartX, 0.259
1625574502.057, lauv-roald, DVL, 0.026
1625574502.260, lauv-roald, DVL, 0.034
1625574502.399, lauv-roald, SmartX, 0.249
1625574502.461, lauv-roald, DVL, 0.037
1625574502.862, lauv-roald, DVL, 0.048
1625574502.900, lauv-roald, SmartX, 0.318
1625574503.063, lauv-roald, DVL, 0.053
1625574503.263, lauv-roald, DVL, 0.063
1625574503.400, lauv-roald, SmartX, 0.428
1625574503.663, lauv-roald, DVL, 0.124
1625574503.861, lauv-roald, DVL, 0.175
1625574503.900, lauv-roald, SmartX, 0.497
1625574504.063, lauv-roald, DVL, 0.202
1625574504.400, lauv-roald, SmartX, 0.507
1625574504.457, lauv-roald, DVL, 0.227
1625574504.662, lauv-roald, DVL, 0.221
1625574504.863, lauv-roald, DVL, 0.220
1625574504.900, lauv-roald, SmartX, 0.478
1625574505.265, lauv-roald, DVL, 0.201
1625574505.400, lauv-roald, SmartX, 0.388
1625574505.467, lauv-roald, DVL, 0.177
1625574505.665, lauv-roald, DVL, 0.143
1625574505.900, lauv-roald, SmartX, 0.269
1625574506.062, lauv-roald, DVL, 0.055
1625574506.260, lauv-roald, DVL, 0.021
1625574506.400, lauv-roald, SmartX, 0.139
1625574506.461, lauv-roald, DVL, 0.000
1625574506.861, lauv-roald, DVL, 0.000
1625574506.899, lauv-roald, SmartX, 0.209
1625574507.062, lauv-roald, DVL, 0.000
1625574507.263, lauv-roald, DVL, 0.000
1625574507.399, lauv-roald, SmartX, 0.338
