timestamp, system, entity , value (m/s)
1625574496.900, lauv-roald, SmartX, 1486.250
1625574497.263, lauv-roald, DVL, 1499.310
1625574497.400, lauv-roald, SmartX, 1485.880
1625574497.462, lauv-roald, DVL, 1499.308
1625574497.661, lauv-roald, DVL, 1499.307
1625574497.900, lauv-roald, SmartX, 1485.940
1625574498.064, lauv-roald, DVL, 1499.304
1625574498.262, lauv-roald, DVL, 1499.293
1625574498.400, lauv-roald, SmartX, 1486.610
1625574498.461, lauv-roald, DVL, 1499.292
1625574498.860, lauv-roald, DVL, 1499.253
1625574498.900, lauv-roald, SmartX, 1487.360
1625574499.060, lauv-roald, DVL, 1499.225
1625574499.264, lauv-roald, DVL, 1499.189
1625574499.400, lauv-roald, SmartX, 1487.280
1625574499.664, lauv-roald, DVL, 1499.144
1625574499.863, lauv-roald, DVL, 1499.112
1625574499.900, lauv-roald, SmartX, 1486.800
1625574500.064, lauv-roald, DVL, 1499.091
1625574500.400, lauv-roald, SmartX, 1486.220
1625574500.464, lauv-roald, DVL, 1499.121
1625574500.661, lauv-roald, DVL, 1499.174
1625574500.862, lauv-roald, DVL, 1499.254
1625574500.900, lauv-roald, SmartX, 1484.980
1625574501.264, lauv-roald, DVL, 1499.430
1625574501.400, lauv-roald, SmartX, 1484.930
1625574501.461, lauv-roald, DVL, 1499.503
1625574501.663, lauv-roald, DVL, 1499.567
1625574501.900, lauv-roald, SmartX, 1485.400
1625574502.057, lauv-roald, DVL, 1499.593
1625574502.260, lauv-roald, DVL, 1499.579
1625574502.400, lauv-roald, SmartX, 1485.580
1625574502.461, lauv-roald, DVL, 1499.575
1625574502.862, lauv-roald, DVL, 1499.508
1625574502.900, lauv-roald, SmartX, 1485.800
1625574503.063, lauv-roald, DVL, 1499.491
1625574503.263, lauv-roald, DVL, 1499.445
1625574503.400, lauv-roald, SmartX, 1485.920
1625574503.663, lauv-roald, DVL, 1499.432
1625574503.861, lauv-roald, DVL, 1499.411
1625574503.900, lauv-roald, SmartX, 1487.920
1625574504.063, lauv-roald, DVL, 1499.398
1625574504.400, lauv-roald, SmartX, 1488.370
1625574504.457, lauv-roald, DVL, 1499.291
1625574504.662, lauv-roald, DVL, 1499.232
1625574504.863, lauv-roald, DVL, 1499.160
1625574504.901, lauv-roald, SmartX, 1488.910
1625574505.265, lauv-roald, DVL, 1498.976
1625574505.400, lauv-roald, SmartX, 1489.570
1625574505.467, lauv-roald, DVL, 1498.886
1625574505.665, lauv-roald, DVL, 1498.796
1625574505.900, lauv-roald, SmartX, 1489.350
1625574506.062, lauv-roald, DVL, 1498.639
1625574506.260, lauv-roald, DVL, 1498.597
1625574506.400, lauv-roald, SmartX, 1488.320
1625574506.461, lauv-roald, DVL, 1498.572
1625574506.861, lauv-roald, DVL, 1498.569
1625574506.899, lauv-roald, SmartX, 1486.700
1625574507.062, lauv-roald, DVL, 1498.654
1625574507.263, lauv-roald, DVL, 1498.745
1625574507.400, lauv-roald, SmartX, 1486.430
1625574507.660, lauv-roald, DVL, 1498.996
1625574507.862, lauv-roald, DVL, 1499.097
1625574507.900, lauv-roald, SmartX, 1485.990
1625574508.060, lauv-roald, DVL, 1499.155
1625574508.400, lauv-roald, SmartX, 1486.710
1625574508.461, lauv-roald, DVL, 1499.167
1625574508.661, lauv-roald, DVL, 1499.132
1625574508.865, lauv-roald, DVL, 1499.084
1625574508.900, lauv-roald, SmartX, 1488.300
1625574509.263, lauv-roald, DVL, 1498.955
1625574509.400, lauv-roald, SmartX, 1489.660
1625574509.466, lauv-roald, DVL, 1498.892
1625574509.664, lauv-roald, DVL, 1498.809
1625574509.899, lauv-roald, SmartX, 1489.680
1625574510.060, lauv-roald, DVL, 1498.661
1625574510.264, lauv-roald, DVL, 1498.585
1625574510.399, lauv-roald, SmartX, 1488.070
1625574510.464, lauv-roald, DVL, 1498.572
1625574510.862, lauv-roald, DVL, 1498.650
