timestamp, system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1625574488.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.22311735, 0.18777466, -0.04917036
1625574489.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.18077493, 0.27971441, -0.07154511
1625574489.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.17662644, 0.28492987, -0.01641178
1625574489.666, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.16857266, 0.32208648, -0.00258261
1625574490.062, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.14238501, 0.38302895, 0.04409999
1625574490.266, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.14454317, 0.42251635, 0.01574776
1625574490.463, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.15419626, 0.45415330, -0.06224429
1625574490.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.01346779, 0.43589565, -0.05585445
1625574491.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.05865216, 0.43772182, -0.09465021
1625574491.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.04702353, 0.39004353, -0.09222757
1625574491.661, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.04335737, 0.50454259, 0.04345571
1625574491.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.01911950, 0.57451504, -0.09136224
1625574492.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 2.01111603, 0.55646157, -0.20435709
1625574492.462, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.91715145, 0.56738496, -0.00827562
1625574492.663, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.96562731, 0.56754094, 0.09431956
1625574492.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.95546317, 0.58357501, 0.10752552
1625574493.264, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.88571835, 0.65471178, 0.00768324
1625574493.466, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.83735323, 0.62631071, -0.06727633
1625574493.666, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.78434193, 0.57508945, -0.03328648
1625574494.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.88394260, 0.59791553, -0.00360377
1625574494.264, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.92605352, 0.65497518, -0.08308768
1625574494.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.86152542, 0.58508515, -0.10794117
1625574494.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.69164395, 0.63367844, 0.08711733
1625574495.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.71994197, 0.70135272, 0.11254268
