timestamp, system, entity , value (s/m)
1625574540.397, lauv-roald, SmartX, 1.804
1625574540.897, lauv-roald, SmartX, 1.634
1625574541.397, lauv-roald, SmartX, 1.467
1625574541.897, lauv-roald, SmartX, 1.453
1625574542.397, lauv-roald, SmartX, 1.425
1625574542.897, lauv-roald, SmartX, 1.454
1625574543.397, lauv-roald, SmartX, 1.627
1625574543.897, lauv-roald, SmartX, 1.708
1625574544.397, lauv-roald, SmartX, 1.873
1625574544.897, lauv-roald, SmartX, 2.013
1625574545.397, lauv-roald, SmartX, 1.971
1625574545.897, lauv-roald, SmartX, 1.819
1625574546.398, lauv-roald, SmartX, 1.709
1625574546.897, lauv-roald, SmartX, 1.688
1625574547.396, lauv-roald, SmartX, 1.806
1625574547.896, lauv-roald, SmartX, 2.016
1625574548.397, lauv-roald, SmartX, 2.247
1625574548.897, lauv-roald, SmartX, 2.395
1625574549.397, lauv-roald, SmartX, 2.333
1625574549.896, lauv-roald, SmartX, 2.052
1625574550.396, lauv-roald, SmartX, 1.830
1625574550.896, lauv-roald, SmartX, 1.708
1625574551.396, lauv-roald, SmartX, 1.650
1625574551.896, lauv-roald, SmartX, 1.936
1625574552.397, lauv-roald, SmartX, 2.278
1625574552.897, lauv-roald, SmartX, 2.535
1625574553.397, lauv-roald, SmartX, 2.487
1625574553.897, lauv-roald, SmartX, 2.376
1625574554.397, lauv-roald, SmartX, 2.359
1625574554.896, lauv-roald, SmartX, 2.131
1625574555.396, lauv-roald, SmartX, 2.012
1625574555.896, lauv-roald, SmartX, 1.741
1625574556.396, lauv-roald, SmartX, 1.684
1625574556.896, lauv-roald, SmartX, 1.579
1625574557.396, lauv-roald, SmartX, 1.569
1625574557.896, lauv-roald, SmartX, 1.578
1625574558.396, lauv-roald, SmartX, 1.651
1625574558.896, lauv-roald, SmartX, 1.728
1625574559.396, lauv-roald, SmartX, 1.857
1625574559.896, lauv-roald, SmartX, 2.365
1625574560.396, lauv-roald, SmartX, 2.433
1625574560.896, lauv-roald, SmartX, 2.449
1625574561.396, lauv-roald, SmartX, 2.263
1625574561.896, lauv-roald, SmartX, 1.923
1625574562.396, lauv-roald, SmartX, 1.995
1625574562.896, lauv-roald, SmartX, 1.898
1625574563.396, lauv-roald, SmartX, 1.864
1625574563.895, lauv-roald, SmartX, 1.940
1625574564.395, lauv-roald, SmartX, 2.017
1625574564.896, lauv-roald, SmartX, 2.411
1625574565.396, lauv-roald, SmartX, 2.586
1625574565.896, lauv-roald, SmartX, 2.561
1625574566.396, lauv-roald, SmartX, 2.431
1625574566.896, lauv-roald, SmartX, 2.217
1625574567.395, lauv-roald, SmartX, 2.086
1625574567.895, lauv-roald, SmartX, 1.927
1625574568.395, lauv-roald, SmartX, 2.044
1625574568.895, lauv-roald, SmartX, 2.185
1625574569.395, lauv-roald, SmartX, 2.204
1625574569.896, lauv-roald, SmartX, 2.245
1625574570.396, lauv-roald, SmartX, 2.229
1625574570.895, lauv-roald, SmartX, 2.078
1625574571.395, lauv-roald, SmartX, 1.919
1625574571.895, lauv-roald, SmartX, 1.878
1625574572.395, lauv-roald, SmartX, 1.839
1625574572.895, lauv-roald, SmartX, 1.846
1625574573.395, lauv-roald, SmartX, 1.913
1625574573.895, lauv-roald, SmartX, 2.233
1625574574.395, lauv-roald, SmartX, 2.358
1625574574.895, lauv-roald, SmartX, 2.319
1625574575.395, lauv-roald, SmartX, 2.071
1625574575.895, lauv-roald, SmartX, 1.955
1625574576.395, lauv-roald, SmartX, 1.833
1625574576.894, lauv-roald, SmartX, 1.800
1625574577.395, lauv-roald, SmartX, 1.821
1625574577.895, lauv-roald, SmartX, 1.867
1625574578.394, lauv-roald, SmartX, 2.103
1625574578.895, lauv-roald, SmartX, 2.299
1625574579.395, lauv-roald, SmartX, 2.300
1625574579.894, lauv-roald, SmartX, 2.164
1625574580.394, lauv-roald, SmartX, 1.938
1625574580.894, lauv-roald, SmartX, 1.808
1625574581.394, lauv-roald, SmartX, 1.754
1625574581.894, lauv-roald, SmartX, 1.806
1625574582.394, lauv-roald, SmartX, 1.893
1625574582.894, lauv-roald, SmartX, 1.996
1625574583.395, lauv-roald, SmartX, 2.078
1625574583.894, lauv-roald, SmartX, 2.037
1625574584.394, lauv-roald, SmartX, 1.926
1625574584.894, lauv-roald, SmartX, 1.858
1625574585.394, lauv-roald, SmartX, 1.887
1625574585.894, lauv-roald, SmartX, 1.931
1625574586.394, lauv-roald, SmartX, 2.058
1625574586.894, lauv-roald, SmartX, 2.162
1625574587.394, lauv-roald, SmartX, 2.295
1625574587.894, lauv-roald, SmartX, 2.399
1625574588.394, lauv-roald, SmartX, 2.316
1625574588.894, lauv-roald, SmartX, 2.134
1625574589.394, lauv-roald, SmartX, 1.942
1625574589.894, lauv-roald, SmartX, 1.900
1625574590.394, lauv-roald, SmartX, 1.970
1625574590.894, lauv-roald, SmartX, 2.254
1625574591.394, lauv-roald, SmartX, 2.563
1625574591.894, lauv-roald, SmartX, 2.663
1625574592.394, lauv-roald, SmartX, 2.491
1625574592.894, lauv-roald, SmartX, 2.225
1625574593.393, lauv-roald, SmartX, 2.015
1625574593.893, lauv-roald, SmartX, 1.812
1625574594.394, lauv-roald, SmartX, 1.687
1625574594.893, lauv-roald, SmartX, 1.636
1625574595.393, lauv-roald, SmartX, 1.735
1625574595.893, lauv-roald, SmartX, 1.867
1625574596.393, lauv-roald, SmartX, 2.067
1625574596.893, lauv-roald, SmartX, 2.190
1625574597.393, lauv-roald, SmartX, 2.005
1625574597.893, lauv-roald, SmartX, 1.746
1625574598.393, lauv-roald, SmartX, 1.765
